authors,title,pdf_file
Anders Fjendbo Jensen and Jeppe Rich,Empirical analysis of cycling trends in two of Europe’s most bicycle-friendly regions: Identifying the successes and the setbacks,hEART_2023_paper_324.pdf
Sander Van Cranenburgh and Francisco Garrido Valenzuela,Using computer vision-enriched discrete choice models to assess the visual impact of transport infrastructure renewal projects:  A case study of the Delft railway zone,hEART_2023_paper_554.pdf
Stephane Hess and Sander Van Cranenburgh,Combine and conquer: model averaging for out-of-distribution forecasting,hEART_2023_paper_566.pdf
Sebastian Hörl and Puchinger Jakob,Modeling the ecological and economic footprint of last-mile parcel deliveries using open data: A case study for Lyon,hEART_2023_paper_618.pdf
Alessio Daniele Marra and Francesco Corman,Evaluating real-time information systems on public transport disturbances,hEART_2023_paper_629.pdf
"Rowan Hoogervorst, Evelien van der Hurk, Philine Schiewe, Anita Schöbel and Reena Urban",The Bus Rapid Transit Investment Problem,hEART_2023_paper_636.pdf
"Patrick Stokkink, André de Palma and Nikolas Geroliminis",Carpooling with Transfers and Travel Time Uncertainty,hEART_2023_paper_717.pdf
Tom Haering and Michel Bierlaire,A Spatial Branch and Bound Algorithm for Continuous Pricing with Advanced Discrete Choice Demand Modeling,hEART_2023_paper_727.pdf
Ruben A. Kuipers and Michelle Ochsner,The Impact of Weather Phenomena on Passenger Volumes for Commuter Trains,hEART_2023_paper_840.pdf
"Takara Sakai, Takashi Akamatsu and Koki Satsukawa",Welfare impacts of remote and flexible working policies in the bottleneck model,hEART_2023_paper_856.pdf
"Arkadiusz Drabicki, Oded Cats and Rafał Kucharski",Willingness to wait with real-time crowding information in urban public transport – before vs. after COVID-19 pandemic,hEART_2023_paper_1055.pdf
"Thomas Hancock, Charisma Choudhury, Joan Walker and Stephane Hess",Quantum choice models leap out of the laboratory: capturing real-world behavioural change.,hEART_2023_paper_1203.pdf
"Bastián Henríquez-Jara, C. Angelo Guevara and Angel Jimenez-Molina",Identifying instant utility (latent emotion) triggers using psychophysiological indicators with an Experience-Based Choice Model in a travel experiment,hEART_2023_paper_1250.pdf
"Joris Wagenaar, Evelien van der Hurk, Marie Schmidt and Evelien van der Hurk",A model for Robust Rolling Stock Scheduling,hEART_2023_paper_1397.pdf
Rui Yao and Renming Liu,Can Bayesian Optimization be the Last Puzzle for Automatic Estimation of Neural Network Discrete Choice Models? An experiment,hEART_2023_paper_1540.pdf
Gabriel Nova and C. Angelo Guevara,"In-depth, Breath-first or Both? Toward the Development of a RUM-DFT Discrete Choice Model",hEART_2023_paper_1567.pdf
"Carlos Gaete-Morales, Julius Jöhrens, Florian Heining and Wolf-Peter Schill",Power sector effects of alternative options for electrifying heavy-duty vehicles,hEART_2023_paper_1777.pdf
"Leon Weinsziehr, Frederik Bachmann, Antonios Tsakarestos and Klaus Bogenberger",Detection of Bus Bunching through the Analysis of Prevalent Public Transport Control Data,hEART_2023_paper_1943.pdf
"Rasha Bowirrat, Karel Martens and Yoram Shiftan",Explaining Walking in Cities – a Machine Learning Approach,hEART_2023_paper_2045.pdf
Mads Paulsen and Jeppe Rich,Optimal bicycle network expansions with endogenous demand,hEART_2023_paper_2155.pdf
Felix Hofinger and Martin Fellendorf,Lane change behavior on motorways based on naturalistic trajectory data,hEART_2023_paper_2329.pdf
"Hannes Wallimann, Kevin Blättler and Widar von Arx",Do price reductions attract customers in urban public transport? A synthetic control approach,hEART_2023_paper_2357_redacted.pdf
"Muhamad Rizki, Tri Basuki Joewono and Yusak Susilo",Exploring the Effect of Apps Evolution and Users’ Personality on Mobile Apps Adoption and Post-Adoption Pattern Over Time: Evidence from Super-Apps Users in Indonesian Cities,hEART_2023_paper_2359.pdf
"Florian Fuchs, Viera Klasovitá and Francesco Corman",Routing Passengers while Timetabling Based on Promises from Line Planning: A Logic-Based Benders Approach,hEART_2023_paper_2398.pdf
"Anupriya Anupriya, Daniel Graham and Prateek Bansal",Quantification of non-linear effects in agglomeration economies for transport appraisals,hEART_2023_paper_2447.pdf
"Georgios Kapousizis, Rumana Sarker, Baran Ulak and Karst Geurs",Acceptance of new technologies affecting safety on electric bicycles: evidence from five European countries,hEART_2023_paper_2590.pdf
Gunnar Flötteröd,Improved precision in a heuristic for particle-based and stochastic dynamic traffic assignment,hEART_2023_paper_2643_redacted.pdf
"Magdalena Schilling, Marvin V. Baumann, Jörg Sonnleitner, Markus Friedrich and Peter Vortisch",Design hourly volume estimation at freeway nodes using floating car data,hEART_2023_paper_2677_redacted.pdf
"Claudia Bandiera, Richard Connors and Francesco Viti",Mobility Service Providers’ Equilibrium Strategies in Multi-modal Networks,hEART_2023_paper_2680.pdf
"Thomas Schatzmann, Felix Zwick and Kay Axhausen",Investigating the preferences for the use of urban ridepooling,hEART_2023_paper_2727.pdf
Ilka Dubernet and Dennis Seibert,Investigating preferences for powertrains when buying a car in Germany,hEART_2023_paper_2854.pdf
"Dimitrios Pappelis, Emmanouil Chaniotakis, Tim Hillel and Maria Kamargianni",Modelling Travel Time Anticipation Under Rational Inattention and Endogenous Information Constraints,hEART_2023_paper_3039.pdf
Daniel Hörcher and Daniel Graham,The spatial variation of travel time valuations: A general equilibrium model and application in project appraisal,hEART_2023_paper_3158.pdf
"Ying-Chuan Ni, Michail Makridis and Anastasios Kouvelas",Investigating Link- and Network-level Bicycle Traffic Flow Characteristics using a Microsimulation Approach,hEART_2023_paper_3525.pdf
"Farnoud Ghasemi, Arkadiusz Drabicki and Rafał Kucharski",Dynamics of the Ride-Sourcing Market: A Coevolutionary Model of Competition between Two-Sided Mobility Platforms,hEART_2023_paper_3545.pdf
Louis Balzer and Ludovic Leclercq,Cooperation between Ride-Hailing and Public Transportation with Tradable Credit Schemes,hEART_2023_paper_3552.pdf
Manon Seppecher and Ludovic Leclercq,An auctioning process for large-scale ride-hailing vehicles repositioning,hEART_2023_paper_3758.pdf
"Menno Yap, Howard Wong and Oded Cats",Public Transport Crowding Valuation in a Post-Pandemic Era,hEART_2023_paper_3890.pdf
Jingyi Cheng and Shadi Sharif Azadeh,A data-driven dynamic demand hotspots forecasting framework for on-demand meal delivery platforms,hEART_2023_paper_3928.pdf
"Shadi Haj Yahia, Omar Mansour and Tomer Toledo",Incorporating Domain Knowledge in Deep Neural Networks for Mode Choice Analysis,hEART_2023_paper_4019.pdf
David Kohlrautz and Tobias Kuhnimhof,Modeling the Demand for Bicycle Parking Facilities,hEART_2023_paper_4126.pdf
"Sara Momen, Bart van Arem and Shadi Sharif Azadeh",Dynamic location for charging operations of shared free-floating e-scooters,hEART_2023_paper_4233.pdf
"Mingye Luan, S.Travis Waller and David Rey",A non-additive path-based reward credit scheme for traffic congestion management,hEART_2023_paper_4260.pdf
"Joanna Ji, Qin Zhang, Ana Tsui Moreno and Rolf Moeckel",The impact of social networks and coordinated destination choice on the spread of epidemics using Episim,hEART_2023_paper_4339.pdf
"Laurent Cazor, Mirosława Łukawska, Mads Paulsen, Thomas Rasmussen and Otto Nielsen",Whose preferences matter more? Handling unbalanced panel data for choice modelling,hEART_2023_paper_4378.pdf
"Christina Iliopoulou, Michail Makridis and Anastasios Kouvelas",Resilience-Oriented Design for Public Transport Networks,hEART_2023_paper_4390.pdf
"Filippos Adamidis, Sara Moghavem Ghaffari and Constantinos Antoniou",Acceptance of car-reducing measures: observed factors and latent attitudes,hEART_2023_paper_4391.pdf
"Han Zhou, Yashar Araghi, Bachtijar Ashari and Maaike Snelder",An activity-based latent class modelling approach to assess the impact of hybrid working on travel demand in the Netherlands after COVID-19,hEART_2023_paper_4427.pdf
"Léa Ricard, Guy Desaulniers, Andrea Lodi and Louis-Martin Rousseau",The stochastic multiple depot electric vehicle scheduling problem with recourse,hEART_2023_paper_4434.pdf
Inneke Van Hoeck and Pieter Vansteenwegen,A heuristic approach to improve the robustness of a railway timetable in a bottleneck area,hEART_2023_paper_4477.pdf
"Niousha Bagheri Khoulenjani, Milad Ghasri and Michael Barlow",Post-hoc explanation methods for deep neural networks in choice analysis,hEART_2023_paper_4548.pdf
"Vishal Mahajan, Guido Cantelmo and Constantinos Antoniou",An open-source framework for the robust calibration of large-scale traffic simulation models,hEART_2023_paper_4553.pdf
"Benoit Matet, Etienne Côme, Angelo Furno, Sebastian Hörl and Latifa Oukhellou",Use of Origin-Destination data for calibration and spatialization of synthetic travel demand,hEART_2023_paper_4604.pdf
"Federico Bigi, Nicola Schwemmle and Francesco Viti",Evaluating the impact of Free Public Transport using agent-based modeling: the case-study of Luxembourg,hEART_2023_paper_4639.pdf
"Gülin Göksu Başaran, Jesper Bláfoss Ingvardson and Otto Anker Nielsen","Influence of station characteristics, urban surroundings and perceived safety on satisfaction and public transport ridership",hEART_2023_paper_5245.pdf
"Rong Cheng, Andreas Fessler, Allan Larsen, Otto Anker Nielsen and Yu Jiang",Assessing the Impacts of Public Transport-Based Crowdshipping: A Case Study in Nørrebro District in Copenhagen,hEART_2023_paper_5254.pdf
"Hassan Idoudi, Mostafa Ameli, Cyril Nguyen Van Phu, Mahdi Zargayouna and Abderrezak Rachedi",Enhancing Evacuation Planning and Management through Vehicular Communication,hEART_2023_paper_5316.pdf
"Liang Ma, Daniel J. Graham and Marc E.J. Stettler",Using Explainable Machine Learning to Interpret the Effects of Policies on Air Pollution: COVID-19 Lockdown in London,hEART_2023_paper_5382.pdf
"Nicola Ortelli, Matthieu de Lapparent and Michel Bierlaire",Faster estimation of discrete choice models via weighted dataset reduction,hEART_2023_paper_5383.pdf
"Lubing Li, Ka Fai Ng, Jacob Lo and Hong Lo",Adaptive Traffic Signal Control: A Novel Modelling Approach,hEART_2023_paper_5388.pdf
"Fábio Hipólito, Jeppe Rich and Peter Bach Andersen",Charging demand for the unserved — an agent-based model approach,hEART_2023_paper_5528.pdf
"Yiru Jiao, Simeon Calvert, Sander van Cranenburgh and Hans van Lint",Varying critical time to collision: a perspective of driver space,hEART_2023_paper_5543.pdf
"Xiaowei Zhu, Anupriya Anupriya and Daniel Graham",Understanding the cycle traffic impacts of Cycle Superhighways in London,hEART_2023_paper_5563.pdf
"Khashayar Khavarian, Shaghayegh Vosough and Claudio Roncoli",How do electric bikes affect the route choice of cyclists? A case study of Greater Helsinki,hEART_2023_paper_5618.pdf
"Léon Sobrie, Marijn Verschelde and Bart Roets",Explainable predictions for real-time employee workload management in railway control rooms,hEART_2023_paper_5830.pdf
"Camila Balbontin, John Nelson, David Hensher and Matthew Beck",Identifying main drivers for students and staff members’ mode choice or to work/study from home: A case study in Australia,hEART_2023_paper_5954.pdf
Michal Bujak and Rafal Kucharski,"Assessing expected ride-pooling performance with non-deterministic, heterogeneous travellers' behaviour.",hEART_2023_paper_5957.pdf
"Gabriel Hannon, Joanna Ji, Qin Zhang, Ana Tsui Moreno and Rolf Moeckel",Implementing an Agent-Based Formation of Social Networks for Joint Travel,hEART_2023_paper_6024.pdf
"Emily Morey, R. Eddie Wilson and Kevin Galvin",Simulation of Mixtures of Legacy and Autonomous Mainline Rail Operations,hEART_2023_paper_6043.pdf
"Kenan Zhang, Andres Fielbaum and Javier Alonso-Mora",What do walking and e-hailing bring to scale economies? A general microeconomic model for on-demand mobility,hEART_2023_paper_6199.pdf
"Giancarlos Parady, Yuki Oyama and Makoto Chikaraishi",Text-aided Group Decision-making Process Observation Method (x-GDP): A novel methodology for observing the joint decision-making process of travel choices,hEART_2023_paper_6443.pdf
"Tai-Yu Ma, Yumeng Fang, Richard Connors, Francesco Viti and Haruko Nakao",A fast algorithm to optimize meeting-point-based electric first-mile feeder services with capacitated charging stations,hEART_2023_paper_6449.pdf
"Dimitrios Argyros, Renming Liu, Ravi Seshadri, Felipe Rodrigues and Carlos Lima Azevedo",Bayesian Optimization of Road Pricing using Agent-based Mobility Simulation,hEART_2023_paper_6461.pdf
Hao Yin and Elisabetta Cherchi,A stated choice experiment to estimate preference for fully automated taxis: comparison between immersive virtual reality and online surveys,hEART_2023_paper_6466.pdf
Fernanda Guajardo and Sebastián Raveau,Travel mode choice modelling of visually impair people through latent variables,hEART_2023_paper_6488.pdf
"Milad Malekzadeh, Dimitrios Troullinos, Ioannis Papamichail and Markos Papageorgiou",Microscopic Simulation-based Testing of Internal Boundary Control of Lane-free Automated Vehicle Traffic,hEART_2023_paper_6556.pdf
Cristian Domarchi and Elisabetta Cherchi,Changes in car ownership due to life events: Insights from the UK Longitudinal Household Survey,hEART_2023_paper_6563.pdf
Caio Vitor Beojone and Nikolas Geroliminis,Providing a Revenue-forecasting Scheme to Relocate Groups of Ride-Sourcing Drivers,hEART_2023_paper_6616.pdf
"Severin Diepolder, Andrea Araldo, Tarek Chouaki, Santa Maiti, Sebastian Horl and Costantinos Antoniou",On the Computation of Accessibility Provided by Shared Mobility,hEART_2023_paper_6772.pdf
Andrea Pellegrini and John Rose,On allowing endogenous minimum consumption bounds in the Multiple Discrete Continuous Choice Model: An application to expenditure patterns,hEART_2023_paper_7012.pdf
"Hamoun Pourroshanfekr Arabani, Mattias Ingelström, Mats Alaküla and Francisco J. Márquez-Fernández",MATSim-based assessment of fast charging infrastructure needs for a full-electric passenger car fleet on long-distance trips in Sweden,hEART_2023_paper_7263.pdf
"Elham Hajhashemi, Patricia Lavieri and Neema Nassir",Applying a latent class cluster analysis to identify consumer segments of electric vehicle charging styles,hEART_2023_paper_7360.pdf
"Janody Pougala, Tim Hillel and Michel Bierlaire",Modelling the impact of activity duration on utility-based scheduling decisions: a comparative analysis,hEART_2023_paper_7441.pdf
"Haoye Chen, Jan Kronqvist, Wilco Burghout, Erik Jenelius and Zhenliang Ma",Mixed Integer Formulation with Linear Constraints for Integrated Service Operations and Traveler Choices in Multimodal Mobility Systems,hEART_2023_paper_7561.pdf
"Kacper Rossa, Andrew Smith, Richard Batley and Phillip Hudson",The valuation of arrival and departure delays in the UK passenger rail using satisfaction survey data,hEART_2023_paper_7670.pdf
"Kailin Chen, Daniel Graham, Richard Anderson, Anupriya Anupriya and Prateek Bansal",Understanding the Capacity of Airport Runways,hEART_2023_paper_7809.pdf
"Bogdan Kapatsila, Dea van Lierop, Francisco J. Bahamonde-Birke and Emily Grisé",The Effect of Incentives on the Actions Transit Riders Make in Response to Crowding,hEART_2023_paper_7837.pdf
"Nejc Geržinič, Maurizio van Dalen, Barth Donners and Oded Cats",The impact of covid-19 on modal shift in long-distance travel,hEART_2023_paper_7898.pdf
"Ryota Okazaki, Yuki Oyama, Naoto Imura and Katsuhiro Nishinari",Day-to-day delivery demand management: Evaluation based on routing efficiency and customer satisfaction,hEART_2023_paper_7914.pdf
Anna Reiffer and Peter Vortisch,Estimating Household-Level Time-Use within a Week Activity Scheduling Framework – Application of the MDCEV Model,hEART_2023_paper_8134.pdf
Aurore Sallard and Milos Balac,Bayesian Networks for travel demand generation: An application to Switzerland,hEART_2023_paper_8170.pdf
"Nico Kuehnel, Shivam Arora, Felix Zwick and Qin Zhang","Simulated Annealing in a Co-Evolutionary, Agent-Based Transport Modeling Framework - The Example of Ride-pooling Driver Supply Optimization",hEART_2023_paper_8358.pdf
"Sijia Sun, Hossam Abdelghaffar, Sérgio Batista, Mónica Menéndez and Yuanqing Wang",Analyzing Network-wide Energy Consumption of Electric Vehicles in a Multimodal Traffic Context: Insights from Drone Data,hEART_2023_paper_8433.pdf
Gaurav Malik and Chris Tampère,Application of a Metamodel-Based Optimization Approach for Toll Optimization and its comparison with Metaheuristics-based Model Optimization via a Case Study.,hEART_2023_paper_8505.pdf
"Bingyuan Huang, Hans Wüst and Mathijs de Haas",Assessing the Long-term Impact of E-bikes on Sustainable Mobility: A National-Level Study in the Netherlands,hEART_2023_paper_8554.pdf
"Lorena Torres Lahoz, Francisco Camara Pereira, Georges Sfeir, Ioanna Arkoud, Mayara Moraes Monteiro and Carlos Lima Azevedo",Attitudes and Latent Class Choice Models using Machine Learning,hEART_2023_paper_8572.pdf
"Ana Tsui Moreno, Matthias Langer and Rolf Moeckel",How mobile are persons with mobility restrictions?  Analysis of number of days with activities using one-week activity schedules in Germany,hEART_2023_paper_8690.pdf
"Saumya Bhatnagar, Rongge Guo, Jihui Ma and Mauro Vallati",Prediction of Passengers Demand for Customized Bus Systems,hEART_2023_paper_8724.pdf
"Josephine Grau, Lea Fuchs, Torben Lelke and Peter Vortisch",City-wide bottleneck and deficiency analysis on a road network generated from the Open Street Map road network using Floating Car Data (FCD),hEART_2023_paper_8738.pdf
