authors,title,pdf_file
"Aliasghar Mehdizadeh Dastjerdi, Sigal Kaplan and Francisco Camara Pereira","Motivating the use of real-time multimodal travel planners: the role of symbolic interaction, human needs and community resilience",hEART2017_paper_6.pdf
"Markus Auer, Hubert Rehborn and Klaus Bogenberger",Dynamic Route Choice Behavior on German Freeway A8 Based on Large Scale Vehicle Fleet Data,hEART2017_paper_7.pdf
Hila Hindi Ling and Hillel Bar-Gera,Interaction delay in M/M/C/N and the impact of buffers on harbor quay-crane operations,hEART2017_paper_10.pdf
Sander Van Cranenburgh and Ahmad Alwosheel,Using artificial neural networks to investigate decision-rule heterogeneity,hEART2017_paper_11.pdf
Ihab Kaddoura and Joschka Bischoff,Towards welfare optimal operation of shared autonomous vehicles,hEART2017_paper_12.pdf
"Mark Raadsen, Michiel Bliemer and Michael Bell",Supply side travel zones: An aggregation-disaggregation method for consistent centroid and connector link design,hEART2017_paper_13.pdf
"Caspar Chorus, Niek Mouter, Baiba Pudane and Danny Campbell",Taboo Trade-Off Aversion in Discrete Choice Experiments: A Case Study in the Domain of Transport Policy,hEART2017_paper_15.pdf
"Einat Tenenboim, Nira Munichor and Yoram Shiftan",Justifying toll payment with biased travel time estimates: Behavioral findings and route choice modeling,hEART2017_paper_16.pdf
"Riccardo Scarinci, Michel Bierlaire and Alessandro Zanarini",Hybrid traffic simulation of an innovative catenary-free electric bus service,hEART2017_paper_17.pdf
"Rick Wolbertus, Maarten Kroesen, Robert van den Hoed and Caspar G.Chorus", Effects of local policies on charging behaviour of Electric Vehicle owners and on purchase intentions of prospective owners. Cross-pollination based on a unique combination of natural and stated choice experiments,hEART2017_paper_21.pdf
"Bing Huang, Sander van Cranenburgh and Caspar G.Chorus","“It’s the relativity, stupid!” Testing Weber’s law in utility-based and regret-based models of travel behavior",hEART2017_paper_23.pdf
"Joschka Bischoff, Ihab Kaddoura, Michal Maciejewski and Kai Nagel",Re-defining the role of public transport in a world of Shared Autonomous Vehicles,hEART2017_paper_24.pdf
Jinqiu Guo and Yibing Wang,Spatial Stochastic Vehicle Traffic Modeling for VANETs,hEART2017_paper_25.pdf
"Henrik Becker, Francesco Ciari and Kay W Axhausen",Assessing the impact of large-scale shared mobility systems using MATSim,hEART2017_paper_28.pdf
"Niek Mouter, Paul Koster and Thijs Dekker",Power to the People? Applying participatory budgeting to evaluate transport policy decisions,hEART2017_paper_32.pdf
"Iliya Markov, Michel Bierlaire, Jean-François Cordeau, Yousef Maknoon and Sacha Varone",A unified modeling and solution framework for stochastic routing problems,hEART2017_paper_33.pdf
Virginie Lurkin and Laurie A Garrow,Modeling Competition among Airline Itineraries,hEART2017_paper_35.pdf
"Yuki Oyama, Eiji Hato, Riccardo Scarinci and Michel Bierlaire",Markov assignment for a pedestrian activity-based network design problem,hEART2017_paper_36.pdf
"Anna Takayasu, Yusuke Hara and Masao Kuwahara",A study of the effect of the social network topology on the information propagation speed,hEART2017_paper_37.pdf
"Bat-Hen Nahmias Biran, Nishant Kumar, Arun Prakash Akkinepally, Simon Oh, Ravi Seshadri, Carlos Lima Azevedo and Moshe Ben-Akiva",A Comprehensive Framework for Modelling Taxi Driver Behavior and Centralized Taxi Operation in SimMobility,hEART2017_paper_38.pdf
"Elaine Schneider de Carvalho, Soora Rasouli and Harry Timmermans",MODELLING LEARNING AND DYNAMIC ROUTE AND PARKING CHOICE BEHAVIOUR UNDER UNCERTAINTY: A REGRET-BASED PERSPECTIVE,hEART2017_paper_43.pdf
"Konstantinos Gkiotsalitis, Zongxiang Wu and Oded Cats",Tactical service design and vehicle allocation optimization,hEART2017_paper_44.pdf
"Mariska van Essen, Tom Thomas, Eric van Berkum and Caspar Chorus",Taking the detour - Travellers’ compliance with system-beneficial route advice in a real-world context,hEART2017_paper_45.pdf
"Woubit Seifu, Daniel Horcher, Bruno de Borger and Daniel Graham",Decentralization and its efficiency implications in suburban public transport,hEART2017_paper_46.pdf
"Ilse Galama, Winnie Daamen, Stefan Van der Spek and Serge Hoogendoorn",Accessibility measures for cycling: Catchment-areas in Amsterdam,hEART2017_paper_47.pdf
Nir Sharav and Yoram Shiftan,Urban public transport investment model,hEART2017_paper_48.pdf
"Flurin S Hänseler, Jeroen P A van den Heuvel, Oded Cats, Winnie Daamen and Serge P Hoogendoorn",Integrated trip assignment for congested rail systems: A case study of the Utrecht-Amsterdam corridor,hEART2017_paper_49.pdf
"C Angelo Guevara, Yue Tang and Song Gao",The initial condition problem with complete history dependency in learning models for travel choices,hEART2017_paper_50.pdf
Daniel Hörcher and Daniel Graham,The inefficiency of travel passes with crowding in public transport,hEART2017_paper_51.pdf
"Maxim Janzen, Kirill Müller and Kay Axhausen",Population Synthesis for Long-Distance Travel Demand Simulations using Mobile Phone Data,hEART2017_paper_52.pdf
"Jeremie Coullon, Yvo Pokern, Eugeny Buldakov and Benjamin Heydecker",Fitting fundamental diagrams to LWR using flow data,hEART2017_paper_53.pdf
"Ramandeep Singh, Dan Graham and Richard Anderson",Decomposing journey times on urban metro systems via semiparametric mixed methods,hEART2017_paper_54.pdf
"Reinhard Hoessinger, Heinz Brian Kreis and Christoph Link",Multimodality in Austria - The connection between mobility behaviour and mobility supply,hEART2017_paper_55.pdf
Alexandra Beaulieu and Bilal Farooq,Pedestrian Movement Modelling using Ubiquitous Data,hEART2017_paper_56.pdf
"Marko Kapetanović, Nebojša Bojović and Miloš Milenković",Discriminatory revenue management policies in rail freight transportation,hEART2017_paper_57.pdf
"Allister Loder, Lukas Ambühl, Monica Menendez and Kay W Axhausen",Influence of network features on the parameters of the macroscopic fundamental diagram,hEART2017_paper_59.pdf
"Csaba Gabor Pogonyi, Daniel Joseph Graham and Richard J Anderson",The wider economic benefits of reducing the cost of travel,hEART2017_paper_61.pdf
Karel Martens and Yoav Lerman,Assessing the fairness of of transport systems in US metro areas,hEART2017_paper_64.pdf
Elise Miller-Hooks,Optimal Strategies for Improving Resilience of Global Marine-based Freight Distribution Networks,hEART2017_paper_66.pdf
"Jonas Eliasson, Matts Andersson and Karin Brundell-Freij",Validation of reference forecasts for passenger transport,hEART2017_paper_68.pdf
Mehmet Yildirimoglu and Osman Kahraman,How far is traffic from user equilibrium?,hEART2017_paper_69.pdf
Sebastian Hörl and Kay W Axhausen,A methodology for observation-based measurement of accessibility,hEART2017_paper_72.pdf
"Rafał Kucharski, Arkadiusz Drabicki, Kulpa Tomasz and Andrzej Szarata",MULTICHANNEL CYCLIST QUEUING BEHAVIOUR AT SIGNALISED CYCLE CROSSINGS,hEART2017_paper_74.pdf
Cuauhtemoc Anda and Sergio Arturo Ordoñez Medina,Extending the Hidden Markov Model for Activity Scheduling,hEART2017_paper_75.pdf
Yusuke Hara,The Relationship between the Efficiency of Auction and Preference Elicitation Cost based on Experimental Approach,hEART2017_paper_77.pdf
"Shane Canavan, Daniel Graham and Richard Anderson",Estimating the marginal social costs of urban rail systems,hEART2017_paper_78.pdf
Guido Cantelmo and Francesco Viti,Assessing the applicability of the Utility-based Dynamic Demand Estimation on large realistic networks,hEART2017_paper_79.pdf
Georgios Sarlas and Kay Axhausen,Spatial modelling of traffic volumes and mean speed values,hEART2017_paper_82.pdf
"""Roberto Fernandez Abenoza, Oded Cats and Vania Ceccato""","Traveler’s perceived safety at bus stops in Stockholm, Sweden",hEART2017_paper_83.pdf
"Karl Hofer, Michael Haberl and Martin Fellendorf",Travel demand estimation of cable cars supplementing public transport,hEART2017_paper_84.pdf
Neža Vodopivec and Elise Miller-Hooks,Quantifying the Impacts of Transportation-Communication Interdependencies on the Resilience of Diverse Populations,hEART2017_paper_85.pdf
"Makoto Chikaraishi, Ayumi Uehara, Akimasa Fujiwara and Junyi Zhang",A collective discrete choice model of personal mobility vehicle (PMV) ownership: A group-based stated preference approach,hEART2017_paper_86.pdf
"Haitam Laarabi, Chiara Boldrini, Raffaele Bruno, Peter Davidson, Rob Culley and Helen Porter",Integration of demand and operational models for an agent based model of a stackable electric vehicle,hEART2017_paper_88.pdf
"Claudia Bongiovanni, Mor Kaspi and Nikolas Geroliminis","The Electric Autonomous Dial-a-Ride Problem: An Optimization Framework for Routing, Scheduling, and Battery Management",hEART2017_paper_90.pdf
"Anders Fjendbo Jensen, Sonja Haustein, Elisabetta Cherchi and Mikkel Thorhauge",Actual preferences for EV households in Denmark and Sweden,hEART2017_paper_91.pdf
Charlotte Duruisseau and Ludovic Leclercq,Path selection methods and network performance: a sensitivity analysis,hEART2017_paper_93.pdf
"Anupriya, Daniel J Graham and Daniel Horcher",CAUSAL ANALYSIS OF IMPACT OF EARLY-BIRD SCHEME IN HONG KONG USING TRAVELCARD DATA,hEART2017_paper_94.pdf
"Francisco Garrido-Valenzuela, Juan C Herrera and Sebastián Raveau",Bayesian route choice inference using Bluetooth technology,hEART2017_paper_96.pdf
"Francisco Camara Pereira, Raghuveer Kamalakar and Inon Peled",Prediction Model Adaptation in Response to Traffic Disruptions,hEART2017_paper_97.pdf
"Ravid Luria, Sigal Kaplan and Kira Janstrup",From road shares to road sharing: Cyclist-motorists interactions and its effect on cyclists' perceptions and willingness to share the road,hEART2017_paper_99.pdf
