authors,title,pdf_file
"M. Gallo (Universita degli Studi del Sannio); L. D'Acierno; B. Montella (Universita degli Studi di Napoli ""Federico II"")",Optimising investments on urban bus networks: an elastic demand model,latsis2012_submission_3.pdf
S. Matsumoto (Keio University Yokohama); T. Park (Asahikawa Medical University); H. Kawashima (Keio University Yokohama),A study of fuel consumption reduction effect of eco-driving,latsis2012_submission_4.pdf
G. Guex (University of Lausanne),A proposition of algorithm for modeling air traffic and road networks,latsis2012_submission_5.pdf
M. Saffarzadeh; B. Mirbaha (Tarbiat Modares University and Parseh Transportation Research Institute),Economical evaluation of constructions urban transportation infrastructures in congested corridors (Case study: SADR highway),latsis2012_submission_6.pdf
"J.H.R. van Duin, N. Anand, L.A. Tavasszy",Urban Consolidation Centre: Evaluation of supportive police measures with agent based modelling,latsis2012_submission_7.pdf
B. Mirbaha; M. Saggarzadeh; S. Seyedabrishami (Tarbiat Modares University),A route guidance model based on system optimality level and deterministic route choice behavior,latsis2012_submission_8.pdf
H. Repolho (EPFL); A. Antunes (University of Coimbra); R. Church (University of California Santa Barbara),High speed rail planning - a combined strategic model with supporting tactical model components,latsis2012_submission_9.pdf
B. Kickhöfer; K. Nagel ( Technische Universität Berlin),Towards high-resolution first-best air pollution tolls: An evaluation of regulatory policies and a discussion on long-term user reactions,latsis2012_submission_10.pdf
I. Kaddoura; B. Kickhöfer; A. Neumann (Technische Universität Berlin); A. Tirachini (The University of Sydney),Public transport supply potimization in a activity-based model: Impacts of activity scheduling decisions and dynamic congestion,latsis2012_submission_11.pdf
"Ch. Ho; C. Mulley (The University of Sydney Business School); K. Shaz (Bureau of Transport Statistics, New South Wales)",Data inconsistencies detection and correction: an application to identifying joint household travel from the household travel survey,latsis2012_submission_12.pdf
D. Efthymiou; C. Antoniou (National Technical University of Athens),How does transport infrastructure affect dwelling prices in Athens?,latsis2012_submission_13.pdf
R. Corthout (KU Leuven); G. Flötteröd (KTH); F. Vitti; Ch. Tampère (KU Leuven),Solution non-uniqueness of intersection models for first-order macroscopic dynamic network loading,latsis2012_submission_14.pdf
D. J. Graham (Imperial College London),Semiparametric double-robust estimation for continuous effects: an application for road traffic accident analysis,latsis2012_submission_16.pdf
P. C. Melo; D. J. Graham; R. Brage-Ardao (Imperial College London),The productivity of transport infrastructure investment: A meta-analysis of empirical evidence,latsis2012_submission_17.pdf
K. Kittanová; M. Krbálek (Czech Technical University Prague),Empirical study of multi-headways in vehicular traffic,latsis2012_submission_18.pdf
