authors,title,pdf_file
Antoniou C.; Papathanasopoulou V.; Gikas V.; Danezis ;Perakis H.,Classification of driving characteristics using smartphone sensor data,Paper 287_Antoniouetal_hEART2014.pdf
"Bastian A.; Borjesson M. (KTH, Stockholm)",Have we reached Peak Car in Sweden Decomposing the underlying trends,005.pdf
Fosgerau M. (TUD Denmark; KTH Stockholm),Congestion in the bathtub,006.pdf
Sun L. (Future Cities Laboratory),Characterizing Travel Time Reliability and Passenger Path Choice in a Metro Network,007.pdf
Dubernet T.; Axhausen K.W. (ETHZ Zurich),Using a MultiAgent Transport Simulation to Study the Impact of the Preference for Joint Activities on Leisure Trip Distance Distribution,009.pdf
"Fukushi M.; Guevara Cue C.A.(Universidad des los Andes, Chile)",Modeling Choice Reversal Due to the Decoy Effect,012.pdf
West J.; Cats O.; Eliasson J. (KTH Stockholm),Incorporating the impact of congestion in public transport into project appraisal,013.pdf
Fosgerau M. (TUD Denmark); Engelson L.; Franklin J. (KTH Stockholm),Commuting for meetings,015.pdf
Peer S. (WU Vienna); Verhoef E.; Knockaert J. (VU University Amsterdam),The valuation of comfort in trains: Evidence from a reallife peak avoidance experiment,018.pdf
Kroes E. (Significance; VU University Amsterdam); Koster P.; Peer S. (VU University Amsterdam),A practical approach to estimate the benefits of improved road network reliability for departing air passengers,019.pdf
Silva H. (VU University Amsterdam),Thirddegree price discrimination by congestible facilities,024.pdf
"Robenek T; Chen JH, Bierlaire M. (EPFL Lausanne)",The Ideal Train Timetabling Problem,026.pdf
"van Cranenburgh S. (TU Delft); Guevara C.A. (Universidad de los Andes, Chile); Chorus C.G. (TU Delft)",On the scale parameter in random regret minimization models,029.pdf
Oded Cats (TU Delft ); Qian Wang; Yu Zhao (KTH Stockholm),Identification and classification of urban centers based on public transport passenger flows data,030.pdf
Alexandros Dimitropoulos; Jos van Ommeren; Paul Koster (VU University Amsterdam),Welfare effects of distortionary tax incentives under preference heterogeneity: An application to employerprovided electric cars,031.pdf
T. Balasha; T: Toledo (Technion-Israel Institute of Technology),Simulationbased Optimization of Actuated Traffic Signal Plans,051.pdf
"H. Braun Thorn; A. Johansson; J. Eliasson (KTH, Stockholm)",Uncertain cost estimates in Swedish national infrastructure plans 20102014,053.pdf
Ch. Ahmed; K. Nur; W. Ochieng (Imperial College London),A Novel Approach for Identifying the Locations of Potential Transit Rail Stations Using A GIS Based Model,060.pdf
C. Capozza; A. Bergantino; M. Capurso;,Price discrimination in the railway market,074.pdf
J. van der Gun; R. van Nes; B. van Arem (TU Delft),Flexible Public Transport Modelling for Large Urban Areas,076.pdf
C.M. Fung; S. Proost (KU Leuven),Future of gasoline taxes a vertical tax competition approach,077.pdf
F. Bahamonde-Birke; U. Kunert; H. Link (TU Berlin); J.D.D. Ortuzar (Pontificia Universidad Católica de Chile),About attitudes and perceptions - finding the proper way to consider latent variables in discrete choice models,078.pdf
P.F. Belgiawan; J-D.Schmocker; M. Abou-Zeid; J.Walker; S. Fujii,Explaining Differences in Car Ownership Motivations between Students from Developed and Developing Countries,079.pdf
P. Melo (Imperial College London); D.J. Graham (The James Hutton Institute Aberdeen),Estimating the Size of TransportInduced Agglomeration Effects in US Metropolitan Areas,080.pdf
T. Dekker; C. Chorus,Consumer surplus for random regret minimisation models,081.pdf
H. He; S. Ilgin Guler; M. Menendez (ETHZ Zurich),Effects of a simplified operating strategy of presignals at a single intersection,092.pdf
D. Rigonat; L. Castelli (Università degli Studi di Trieste); M. Labbé (Université Libre de bruxelles),The Network Pricing Problem with congestion,097.pdf
K. Hjorth; J. Rich,Preferences for travel time variability - A study of Danish car drivers,100.pdf
P. Horbachev; O. Tokmylenko; O. Svichinska,Development of discrete choice models for public transit route system,101.pdf
N. Sanko; A. Daly; M. Wardman,Cost and time damping: Evidence from aggregate rail direct demand models,104.pdf
N. Mouter,Comparison of the Dutch Danish Norwegian Swedish and UK transport appraisal practices,105.pdf
I. Markov (EPFL Lausanne); S. Varone (HEG Geneva); M. Bierlaire (EPFL Lausanne),Solving a Complex Waste Collection Routing Problem with Intermediate Disposals,112.pdf
Z.C. Jing; R. Jian; L.R. Hui; F.X. Yu,Evaluation of the Sensitivity of Traffic Flow Characteristics to the Microscopic Driving Behaviour - Impact of Parameter Values,113.pdf
B. Boyaci; N. Geroliminis (EPFL; K. Zografos (Lancaster University),An operational framework for oneway electric carsharing systems with reservations,115.pdf
Y. Xiao; H.K. Lo (Hong-Kong University),Modeling Traveler - Daytoday Departure Time Choice with Social Network Information: A Bayesian Belief Approach,116.pdf
A. Danalet; M. Bierlaire (EPFL Lausanne),A new approach to activity choice modeling for passively collected data,118.pdf
G. Circella; J. Ramirez Salgado; P. Mokhtarian; M. Diana,The impact of activities while traveling on the subjective valuation of travel time,119.pdf
E. Kazagli; M. Bierlaire (EPFL Lausanne),A MultiLevel Modeling Framework for Route Choice Behavior,122.pdf
A. Zolfaghari; J. Polak; A. Sivakumar,PseudoEquilibrium Price Formation in Microsimulation Urban Models: A Hybrid Equilibrium and Microsimulation Approach,126.pdf
K. Yuan; V. L. Knoop; S.P. Hoogendoorn (TU Delft),Optimal dynamic green time for distributed signal control,127.pdf
L. Brederode (TU Delft; TAD Mobility); A.J. Pel; S.P. Hoogendoorn (TU Delft),Matrix estimation for static traffic assignment models with queuing,130.pdf
B. Kostic; G. Gentile,Derivativefree Algorithms for the Estimation of Dynamic OD Matrix Structure Using Traffic Counts,131.pdf
"A. Ermagun; A. Samimi (Sharif University of Technology, Tehran); A.R. Pinjari (Univeristy of South Florida)",Mode Choice and Travel Distance Decisions: A Copulabased Joint Multinomial DiscreteContinuous Model,133.pdf
M. Rinaldi; Ch.M.J. Tampère (KU Leuven),Coordinate Descent based Decomposed Anticipatory Dynamic Traffic Control,136.pdf
B. Heldt; K. Gade; D. Heinrichs,Agents in land use models Identifying parameters explaining their location choice decisions under limited data conditions,140.pdf
M. Nikolic; M. Bierlaire (EPFL Lausanne),Fundamental diagram for pedestrians: a twolevel approach,141.pdf
L. Engelson; S. Berglund; O. Camella; G. Flötteröd; D. Jonsson; I. Kristoffersson; J. West,Integration of dynamic traffic assignment with a travel demand model based on synthetic population for Stockholm region,142.pdf
R. Schonemann (TU Berlin),Robust Intermodal Terminal Scheduling and Productivity in a Railroad Network Context,143.pdf
K. SUGISHITA; K. SAKAI; Y. ASAKURA,Vulnerability Assessment for Cascading Failures in Interdependent Networks,145.pdf
M.K. Anderson; O.A. Nielsen; C.G. Prato (TU of Denmark),The importance of choice set generation and selection for public transport route choice model estimation and parameter stability,147.pdf
I. Mulalic; S.L. Mabit (TU of Denmark),Car ownership and use taxes as pollution correcting instruments,149.pdf
S. Parkes; G. Marsden; A. Jopson,The longevity of behaviour change: A case study of the London 2012 Olympic and Paralympic Games,150.pdf
S. Mabit,Vehicle type choice under the influence of a tax reform and rising fuel prices,151.pdf
