authors,title,pdf_file
Francisco J. Bahamonde-Birke and Juan De Dios Ortuzar,About the categorization of latent variables in hybrid choice models,hEART_2015_submission_3.pdf
Stéphanie Souche,Transport and emotion: the contribution of neurosciences,hEART_2015_submission_4.pdf
Eric Miller,Evaluating Transit Policy Options within an Agent-Based Microsimulation Modelling Framework,hEART_2015_submission_5.pdf
Zhenhua Chen and Kingsley Haynes,Impact of Intercity Passenger Rail on Urban Housing Prices: An Investigation from Three Chinese Metropolitan Areas,hEART_2015_submission_6.pdf
Tomas Robenek and Michel Bierlaire,Evaluating the Quality of Railway Timetables from Passenger Point of View,hEART_2015_submission_7.pdf
Jeppe Rich,A spline function classes suitable for transport demand models,hEART_2015_submission_8.pdf
Farideh Ramjerdi and Bjorn Johansen,"""Public acceptance of road pricing",hEART_2015_submission_12.pdf
"Harilaos Psaraftis, Min Wen and Christos Kontovas",Dynamic Vehicle Routing Problems: Three Decades and Counting,hEART_2015_submission_15.pdf
"Flurin S. Hänseler, William H.K. Lam, Michel Bierlaire, Riccardo Scarinci and Gael Lederrey","A macroscopic loading model for dynamic, anisotropic and congested pedestrian flows",hEART_2015_submission_17.pdf
"Patrick Bonnel, Zbigniew Smoreda, Etienne Hombourger and Ana-Maria Olteanu-Raimond","Potential of ""passive"" mobile phone dataset to construct origin-destination matrix",hEART_2015_submission_18.pdf
Yuntao Guo and Srinivas Peeta,The Impacts of Interactive Accessibility Information on Residential Location Choice and Travel Behavior: An Experimental Study,hEART_2015_submission_19.pdf
Sergio Arturo Ordonez Medina,Personalized multi-activity scheduling of secondary activities,hEART_2015_submission_21.pdf
"Tim Hilgert, Martin Kagerbauer, Christine Weiss and Peter Vortisch",Modeling travel behavior using socio-demographic characteristics and statistical matching methods,hEART_2015_submission_22.pdf
Evantia Kazagli and Michel Bierlaire,Assessment of A Route Choice Model Based on Mental Representations for Traffic Assignment and Route Guidance,hEART_2015_submission_23.pdf
Britta Niehof and Christian Winkler,How to drive: New Insights in the Future of the German Automobile Market,hEART_2015_submission_25.pdf
"Ismir Mulalic, Bruno de Borger and Jan Rouwendal",Measuring the Rebound Effect with Micro Data,hEART_2015_submission_26.pdf
"Lasse Fridstrom, Vegard Ostli and Kjell Werner Johansen",A stock-flow cohort model of the national car fleet,hEART_2015_submission_27.pdf
"Jens West, Maria Börjesson and Leonid Engelson",Ex-post evaluation of national transport model - Gothenburg congestion charges application,hEART_2015_submission_28.pdf
"Masato Wada, Felipe Delgado and Bernardo Pagnoncelli",A risk averse approach to the optimal capacity problem in the airline cargo industry,hEART_2015_submission_29.pdf
Michal Maciejewski,Effcient real-time taxi dispatching by solving the assignment problem,hEART_2015_submission_30.pdf
"Femke van Wageningen-Kessels, Winnie Daamen and Serge Hoogendoorn",The two-dimensional Godunov scheme and what it means for continuum pedestrian flow models,hEART_2015_submission_32.pdf
"Nursitihazlin A. Termida, Yusak O. Susilo and Joel P. Franklin",The influence of non-instrumental variables on individuals' time-scale responses towards the introduction of a new public transport option,hEART_2015_submission_34.pdf
Caspar Chorus,"The practice of strategic journal self-citation: It exists, and should stop",hEART_2015_submission_35.pdf
Amit Agarwal and Ihab Kaddoura,Marginal Congestion Cost Pricing: Allocation of Spill-back Delay Costs to the True Causing Agents,hEART_2015_submission_38.pdf
"Stefan Binder, Mohammad Yousef Maknoon and Michel Bierlaire",Passenger-oriented train timetable rescheduling in case of severe disruptions,hEART_2015_submission_40.pdf
Antonin Danalet and Michel Bierlaire,An activity-based approach for transport hubs,hEART_2015_submission_42.pdf
"Michael Bruhn Barfod, Sigal Kaplan, Ina Frenzel and Jens Klauenberg","COPE-SMARTER - A decision support system for analysing the challenges, opportunities and policy measures: A case study of electric commercial vehicles market diffusion in Denmark",hEART_2015_submission_45.pdf
Sigrun Beige and Rita Cyganski,Long-Term and Short-Term Aspects of Car Allocation within the Household Context,hEART_2015_submission_47.pdf
Nobuhiro Sanko,Should small samples from recent time point be used with older data? Applicability of updating models by transfer scaling,hEART_2015_submission_48.pdf
Konstadinos Goulias and Jae Hyun Lee,"Behavioral micro-dynamics of car ownership, activity and travel in the Seattle metropolitan region from 1989 to 2002",hEART_2015_submission_49.pdf
"Cesar Orbe, Milos Balac, Francesco Ciari and Trivik Verma","Evaluating the effects of variable user demand on a round-trip, one-way, and free-floating carsharing fleet in the city of Zurich, Switzerland",hEART_2015_submission_50.pdf
"Joen Dahlberg, Maud Göthe-Lundgren, Stefan Engevall, Kurt Jörnsten and Mikael Rönnqvist","Monotonic paths in game theory - Application, forest industry transportation",hEART_2015_submission_51.pdf
"Pascal Rebreyend, Xiaoyun Zhao and Johan Hakansson",Does road network density matter in optimally locating facilities?,hEART_2015_submission_52.pdf
"Iliya Markov, Matthieu de Lapparent, Sacha Varone and Michel Bierlaire",Towards an integrated approach for demand forecasting and vehicle routing in recyclable waste collection,hEART_2015_submission_53.pdf
"Jonas Christensen, Dario Pacino, Joao Fonseca and Harilaos Pseraftis",Cargo-mix optimization in Liner Shipping,hEART_2015_submission_54.pdf
"Paul Koster, Christiaan Behrens and Erik Verhoef",Follow or join the Leader?,hEART_2015_submission_55.pdf
"Charles Raux, Ayman Zoubir and Nicolas Ovtracht","Who are bike sharing schemes members and how they travel daily: the case of the Lyon's ""Velo'v"" scheme",hEART_2015_submission_58.pdf
"Anna Fernandez-Antolin, C. Angelo Guevara-Cue and Michel Bierlaire",Capturing non-linearities between observed and unobserved variables: how to model comfort while correcting for endogeneity,hEART_2015_submission_59.pdf
"Emmanouil Chaniotakis, Constantinos Antoniou and Evangelos Mitsakis",Data for Leisure Travel Demand from Social Networking Services,hEART_2015_submission_60.pdf
"Riccardo Scarinci, Iliya Markov and Michel Bierlaire",Accelerating Moving Walkways: Optimization of an Innovative Transport System for Dense Urban Areas,hEART_2015_submission_61.pdf
Marija Nikolic and Michel Bierlaire,Characterization of multidirectional pedestrian flows based on three-dimensional Voronoi tessellations,hEART_2015_submission_63.pdf
"Shadi Sharif Azadeh, Yousef Maknoon, Patrice Marcotte and Michel Bierlaire",A new approach to airline and train demand modeling using registered transactions,hEART_2015_submission_64.pdf
Yousef Maknoon and Michel Bierlaire,Scheduling trucks in logistic network with transhipment centers,hEART_2015_submission_66.pdf
"Helen Bowkett, Kiron Chatterjee and Graham Parkhurst",Incorporating habits into an agent based model of commuting mode choice,hEART_2015_submission_67.pdf
"Yedidya Levi, Shlomo Bekhor and Yehiel Rosenfeld",A Multi-objective optimization model for urban planning: the cas of a very large floating structure,hEART_2015_submission_69.pdf
"Jonas Eliasson, Christer Anderstig and Svante Berglund",Congestion charges and labour market imperfections,hEART_2015_submission_71.pdf
"Katrine Hjorth, Niken Prameswari, Mogens Fosgerau and Thomas Jensen",Prediction Model for Travel Time Variability for Copenhagen,hEART_2015_submission_73.pdf
Johannes Müller and Klaus Bogenberger,Explanatory Variables For The Varying Demand Of Free-Floating Carsharing,hEART_2015_submission_74.pdf
"Dimas Bayu Endrayana Dharmowijoyo, Yusak Susilo and Anders Karlström","Interaction between individual's psychological mechanisms and time-space constraints to explain individual's day-to-day discretionary activities behaviour: Case study in the Bandung Metropolitan Area, Indonesia",hEART_2015_submission_76.pdf
"Joram H.M. Langbroek, Joel P. Franklin and Yusak O. Susilo",Electric vehicle users and travel patterns in Greater Stockholm,hEART_2015_submission_77.pdf
Niek Mouter and Caspar Chorus,Value of Time: a Citizen's perspective,hEART_2015_submission_79.pdf
"Sylvia Bleker, Christiaan Behrens, Paul Koster and Erik Verhoef",Optimal subsidization of electric vehicles: Network externality vs. environmental externality,hEART_2015_submission_80.pdf
"Esra Suel, Alireza Zolfaghari and John Polak","Mobility behaviour in multi-channel retail environments: joint model of shopping channel, destination, and mode choice",hEART_2015_submission_82.pdf
"Bojan Kostic, Guido Gentile and Constantinos Antoniou",An Aggregate Approach for the Calibration of Time-dependent Demand for Dynamic Traffic Assignment Models using SPSA Algorithm,hEART_2015_submission_83.pdf
Guido Cantelmo and Francesco Viti,Activity Demand: An empirical analysis on the influence of the activities on the traffic within-day demand profile,hEART_2015_submission_85.pdf
Daniel Hosse and Andreas Neumann,Modelling of operational variants for the use of Personal Rapid Transit in public transit,hEART_2015_submission_88.pdf
"Marco Rinaldi, Rodrigo Amaral, El-Houssaine Aghezzaf, Pieter Vansteenwegen and Chris M.J. Tampère",Joint Traffic Management and Logistics optimization: a game theoretical approach,hEART_2015_submission_89.pdf
"Gebeyehu M. Fetene, Georg Hirte, Stefan Tscharaktschiew and Sigal Kaplan",Three Players Nash Equilibrium Game Concerning the Charging Time and Place of Employees Electric Vehicles,hEART_2015_submission_91.pdf
"Danique Ton, Jeroen van den Heuvel, Serge Hoogendoorn and Winnie Daamen",Route and activity location choice behaviour of departing pedestrians at train stations,hEART_2015_submission_93.pdf
Gunilla Björklund and Jan-Erik Swärdh,Valuing comfort and crowding abatement in Swedish public transport,hEART_2015_submission_94.pdf
"Jan Vuurstaek, Glenn Cich, Luk Knapen, Ansar-Ul-Haque Yasar, Tom Bellemans and Geert Wets",Integrating OSM and GTFS to create MATSim plans using PT,hEART_2015_submission_97.pdf
Baiba Pudane and Andreas Rau,Step versus slope model for valuing waiting time unreliability,hEART_2015_submission_100.pdf
Wei-Shiuen Ng,Parking Choices and Pricing Preferences,hEART_2015_submission_101.pdf
"Thomas A.S. Nielsen, Ismir Mulalic and Hjalmar Christansen",Changing cycling mode-share: analysis of drivers based on Danish travel survey data 1996-2013.,hEART_2015_submission_103.pdf
"Emile Quinet, David Meunier, Christoph Walther and Alexander Dahl",New trends in cost-benefit assessment of public investments in France and Germany,hEART_2015_submission_105.pdf
Thibaut Dubernet and Kay Axhausen,Simulating the Influence of Social Contacts Spatial Distribution on Travel Behavior,hEART_2015_submission_107.pdf
Sander Van Cranenburgh and Carlo Giacomo Prato,Omitted attributes in RRM models,hEART_2015_submission_108.pdf
Vasileia Papathanasopoulou and Constantinos Antoniou,On-line calibration of car-following models exploiting input parameter correlation,hEART_2015_submission_109.pdf
"Alejandro Tirachini, Ricardo Hurtubia and Thijs Dekker",Modelling crowding discomfort in Santiago's Metro: influence on time perception and policy implications,hEART_2015_submission_110.pdf
"Ihab Kaddoura, Lars Kröger and Kai Nagel",Activity-based and dynamic marginal noise cost pricing,hEART_2015_submission_111.pdf
Jesper Blafoss Ingvardson and Otto Anker Nielsen,A meta-study on the significance of rail networks on public transport ridership,hEART_2015_submission_112.pdf
"Andrey Shabalov, Eran Ben-Elia and Itzhak Benenson",Adaptive Public Transit Network Design,hEART_2015_submission_113.pdf
Marco Percoco,Environmental effects of the London Congestion Charge: a regression discontinuity approach,hEART_2015_submission_114.pdf
Domokos Esztergar-Kiss and Balint Caesar,Definition of passenger user groups with Ward's method for the evaluation of journey planners,hEART_2015_submission_115.pdf
"Eric Larsen, Jean-Philippe Raymond, Emma Frejinger and Angelo Guevara",A cross-validation approach for discrete choice models with sampled choice sets,hEART_2015_submission_118.pdf
Jack Haddad,Optimal splitting rates for traffic routing and control in simple networks,hEART_2015_submission_119.pdf
"Mette Berner Dyrberg, Charlotte B. Christensen, Marie Karen Anderson, Otto Anker Nielsen and Carlo G. Prato",Transfer attributes in route choice models for public transport passengers,hEART_2015_submission_121.pdf
"Stephane Hess, Andrew Daly, Thijs Dekker, Manuel Ojeda Cabral and Richard Batley",Developing and estimating behavioural models for the value of time in the UK,hEART_2015_submission_122.pdf
Roger Pyddoke and Jan-Erik Swärdh,Differences in the effects of fuel price and income on private car use in Sweden 1999-2008,hEART_2015_submission_126.pdf
"Nicolo' Daina, John Polak and Aruna Sivakumar",Capturing the Effect Range of Anxiety on Electric Vehicle Charging Behaviour: An Integrated Choice and Latent Variable Approach,hEART_2015_submission_127.pdf
"David Watling, Thomas Rasmussen, Carlo Giacomo Prato and Otto Anker Nielsen",Stochastic User Equilibrium with Equilibrated Choice Sets,hEART_2015_submission_129.pdf
"Thomas Rasmussen, David Watling, Carlo Giacomo Prato and Otto Anker Nielsen","Restricted Stochastic User equilibrium with Threshold (RSUET) - Model formulation, solution methods and large-scale test",hEART_2015_submission_130.pdf
Wei Liu and Nikolas Geroliminis,Modeling the Morning Commute for Urban Networks with Cruising-for-parking: an MFD Approach,hEART_2015_submission_131.pdf
Andrea Pellegrini and Stefano Scagnolari,The relationship between length of stay and transportation mode in the tourism sector: a discrete-continuous analysis of Swiss data.,hEART_2015_submission_133.pdf
"Raphaël Lamotte, André de Palma and Nikolas Geroliminis",Vickrey's bottleneck model with a cooperative sub-route alternative,hEART_2015_submission_136.pdf
Mehmet Yildirimoglu and Nikolas Geroliminis,Regional Route Choice Behaviour in Large-Scale Urban Networks,hEART_2015_submission_137.pdf
"Fangni Zhang, Nan Zheng and Nikolas Geroliminis",Optimization of bus services in multimodal networks with dedicated bus corridors with network-level traffic models,hEART_2015_submission_138.pdf
