authors,title,pdf_file
Leonid Engelson and Mogens Fosgerau,The value of travel time information,hEART_2019_paper_4.pdf
"Shelly Etzioni, Adam Weiss, Eran Ben-Elia and Yoram Shiftan",Advanced Approach to Modelling Shared Automated Vehicles Users’ Preferences,hEART_2019_paper_6.pdf
Sarbast Moslem and Szabolcs Duleba,AHP-Pareto Model for Evaluating Public Bus Transport,hEART_2019_paper_7.pdf
"Mikkel Thorhauge, Habtamu Kassahun, Elisabetta Cherchi and Sonja Haustein","Mobility Needs, activity patterns and activity flexibility: How individuals select transportation mode",hEART_2019_paper_8.pdf
"Stephen Wong, Adam Pel, Susan Shaheen and Caspar Chorus",Fleeing from Hurricane Irma: Empirical Analysis of Evacuation Behavior Using Discrete Choice Theory,hEART_2019_paper_9.pdf
Maximilian Hartl and Natalie Dudt,Optimal Pick-up and Drop-off Locations for Regional Ridesharing,hEART_2019_paper_14.pdf
Jonas Eliasson,Modelling reliability benefits,hEART_2019_paper_15.pdf
Yuan Liao and Sonia Yeh,How representative are the geotagged tweets as a proxy for human mobility? Comparing social media data with travel survey and GPS log data,hEART_2019_paper_17.pdf
Joachim Scheiner,Life course changes in travel mode use with partner interactions,hEART_2019_paper_20.pdf
Marco Rinaldi and Francesco Viti,Investigating the effect of controller locations on centralised dynamic traffic control with equilibrium constraints,hEART_2019_paper_22.pdf
"Niek Mouter, Paul Koster and Thijs Dekker",Participatory Value Evaluation: a novel method to evaluate transport investments,hEART_2019_paper_23.pdf
"Anae Sobhani, Hamed Kianmehr, Samira Soleimani and Ahmad Sobhani",Investigating Injury Severity of Occupants at Highway-Rail Grade Crossings: An Application of Machine Learning Techniques and A Partial Least Square Ordinal Logit Model,hEART_2019_paper_27.pdf
"Yanan Liu, Dujuan Yang, Harry Timmermans and Bauke Vries",The impacts of the micro built environment on pedestrian route choice: a stated preference experiment,hEART_2019_paper_28.pdf
Alessio Daniele Marra and Francesco Corman,From delay to disruption: the impact of service degradation on public transport network,hEART_2019_paper_29.pdf
Mahmud Keblawi and Tomer Toledo,Simulation-Based Optimization Of Transit Priority Signal Plans For A Network Of Adjacent Intersections,hEART_2019_paper_32.pdf
"Katrine Hjorth, Thomas Christian Jensen and Niels Framroze Møller",Predicting travel time variability for cost-benefit analysis,hEART_2019_paper_34.pdf
"Basil Schmid, Joseph Molloy, Simona Jokubauskaite, Florian Aschauer, Stefanie Peer, Reinhard Hössinger, Regine Gerike, Sergio Jara-Diaz and Kay W. Axhausen",Individual-level decomposition of the value of travel time savings into the value of leisure and the value of time assigned to travel,hEART_2019_paper_36.pdf
"Joris Klingen, Devi Brands and Francis Ostermeijer",Cheap talk: the effect of cell phone usage on road accidents,hEART_2019_paper_41.pdf
"Maria Börjesson, Anne Bastian and Jonas Eliasson",The Economics of Low Emission Zones,hEART_2019_paper_42.pdf
Dereje Abegaz and Katrine Hjorth,The value of travel time variability for Danish car commuters,hEART_2019_paper_43.pdf
