authors,title,pdf_file
I. Kaddoura; K. Nagel; A. Neumann (TU Berlin); A. Tiracchini (Universidad de Chile),Optimal public transport pricing: flat pricing vs. user-specic marginal social cost charging,ABS94_Kaddoura_etal.pdf
J.H. Chen (EPFL Lausanne);D-H. Lee; J.X. Cao,An integrated framework for quayside operation problem with continuous berths,ABS95_Chen_Lee_Jin_Cao.pdf
"G. Gentile; D. Tiddi (Univeristy of Rome ""La Sapienza""); R. Kucharski (Cracow Univeristy of Technology)",Splitting rates equilibrium in dynamic traffic assignment using the general link transmission model to simulate network performances,ABS96_Gentile_Kucharski_Tiddi.pdf
T. Robenek; JH Chen (EPFL Lausanne),Demand based timetabling of passenger railway service,ABS97_Robenek_Chen.pdf
I. Ehreke; C. Weis (ETHZ Zurich),Determine VTTS for the German Federal transport infrastructure planning,ABS98_Ehreke_Weis.pdf
A. Tapani; J. Olstam (Swedish National Road and Transport Research Institute),Microscopic traffic simulation modelling of 2+1 roads,ABS101_Tapani_Olstam.pdf
T.R. Pedersen; O.A. Nielsen (TU Denmark),Comparisons of heuristics and metaheuristics for optimizing congestion prices,ABS103_ThomasRossPedersen.pdf
S. Hess (Univeristy of Leeds); A. Stathopoulos (EPFL Lausanne),Linking the desicion process to underlying constructs in a latent variable latent class approach,ABS105_Hess_Stathopoulos.pdf
T. Mostafa; M. J. Roorda (University of Toronto),A Structural Equation Model of Commercial Vehicle Ownership,ABS106_Mostafa_Roorda.pdf
E. Chandakas; F. Leurent; A. Poulhes (Ecole des Ponts ParisTech),Modelling the capacity effects in a transit network: the CapTA model and selected results from the RER-A line in Paris,ABS108_Chandrakas_Leurent_Poulhes.pdf
M. Hartmann; A. Babik; M. Kagerbauer; P. Vortisch (Karlsruhe University of Technology,Modeling driving cycles with microscopic traffic simulaiton-in-the-loop,ABS111_Hartmann_Babik_Kagerbauer_Vortisch.pdf
G. Gentile (University of Rome La Sapienza),Dynamic routing on transit networks with both schedule-based and frequency-based services,ABS112_Gentile.pdf
S. O'Hare; R. Connors; D. Watling (University of Leeds),How travel demande affects inefficiency of selfish routing,ABS113_O'Hare_Connors_ Watling.pdf
S. Seer; Ch. Kogler; T. Matyus; M. Stubenschrott (Austrian Institute of Technology),Assessing the design of urban transit vehicles using microscopic simulations,ABS119_Seer_Kogler_Matyus_Stubenschrott.pdf
A. Danalet; B. Farooq; M. Bierlaire (EPFL Lausanne),A pedestrian destination-chain choice model from Bayesian estimation of pedestrian activities using sensor data,ABS120_Danalet_Farooq_Bierlaire.pdf
A. Glerum (EPFL Lausanne); E. Frejinger (University de Montréal); A. Karlstrom; M. Beser Hugosson (KTH Stockholm); M. Bierlaire (EPFL Lausanne),"A dynamic discrete-continuous choice model of car ownership, usage and fuel type",ABS124_Glerum_etal).pdf
M. Nikolic; B. Farooq; M. Bierlaire (EPFL Lausanne),Perception based spatial tessellations of pedestrian dynamics,ABS125_Nikolic_Farooq_Bierlaire.pdf
M. Wardman; J. Laird; P. Mackie; R. Batley (University of Leeds); G. Lyons (University of West England),The valuation of businesstravel time savings: Evidence and practice,ABS126_Wardman_Laird_Mackie_Batley_Lyons.pdf
W. Zhang; S. Guhathakurta; Y. Xu (Georgia Institute of Technology),"The effects of compact development on travel behaviour, energy consumption and GHG emissions: lessons from neighbourhoods in Phoenix Metropolitan area",ABS132_Zhang_Guhathakurta_Xu.pdf
B. Hasselgren (KTH Stockholm),Public and private orderings in parking regulation and planning,ABS137_Hasselgren.pdf
G. Torrao (Campus Universitario de Santiago); N. Rouphail (Centenial Campus Raleigh); M. Coelho (University of Aveiro),"""SEG"" indicator: An innovative tool for a scenario-based analysis on crash injury risk prediction and sustainable mobility",ABS138_Torrao_Rouphail_Coelho.pdf
H. Hammadou (University of Lille1); C. Papaix (IFSTTAR),Estimating shadow-prices of urban transport mode choice for a second best pricing of CO2 emissions,ABS141_Hammadou_Papaix.pdf
O. Cats; Y. usilo (KTH Stockholm),An integrated approach to measuring the whole journey passenger experience,ABS146_Cats_Susilo.pdf
Z. Chen; K. Haynes (George Mason University),Spatial impact of transportation infrastructure: a spatial econometric CGE approach,ABS147_Chen_Haynes.pdf
A.S. Bergantino; A. de Carlo; A. Morone (Univeristy of Bari),Experiments in transport related choices: the influence of risk and uncertainty in determining worker's behaviour with respect to parking alternatives,ABS148_Bergantino_deCarlo_Morone.pdf
Q. Wang; A. Karlström; M. Sundberg (KTH Stockholm),Consistent and unbiased random coefficients Logit estimator under sampling of alternatives,ABS151_Wang_Karlstrom_Sundberg.pdf
M. Beuthe; B. Jourquin; N. Urbain (Université Catolique de Louvain),Measuring freight transport elasticities with a multimodal network model,ABS152_Beuthe_Jourquin_Urbain.pdf
G. Isacsson (VTI; J. H åkansson (Dalarna University),The relationship between accessibility and individuals' outcome in the labor market,ABS153_Isacsson_Hakansson.pdf
"H. Edwards (Vectura, Solna)","Railway capacity management in the Swedish national freight transport model, Samgods, using linear programming",ABS155_Edwards.pdf
J. Rich; S. Mabit (DTU Denmark),Non-linear time and cost effect in a large scale travel demand model - experience from the Danish national transport model,ABS156_Rich_Mabit.pdf
S. Mandell; I. Vierth; J-E. Nilsson (VTI),"Freight transport, policy instruments and the climate",ABS157_Mandell_Vierth_Nilsson.pdf
J. Rich; O.A. Nielsen (TU Denmark),To MSA or not MSA? System convergence in the Danish national model,ABS158_Rich_Nielsen.pdf
M. Heilig; P. Vortisch (Institute for Transport Studies),Travel demand modelling adapted for person flows in public buildings,ABS159_Heilig_Vortisch.pdf
W. Burghout (KTH Stockholm); E. Frejinger (Université de Montréal),Comparison of path- and link-based choice models for dynamic traffic assignment,ABS164_Burghout_Frejinger.pdf
A. Stathopoulos; A. Glerum; M. Thémans; M. Bierlaire (EPFL Lausanne),Modelling determinants of vehicle ownership transitions: advances in modeling inter-temporal choice,ABS169_Stathopoulos_etal.pdf
M. Börjesson; J. Eliasson (KTH Stockholm); M. Welde; J. Odeck (Norwegian University of Science and Technology),Do CBA results affect project selection? Comparative evidence from Sweden and Norway,ABS172_Borjesson_Eliasson_Welde_Odeck.pdf
