authors,title,pdf_file
"Barbour, Natalia, Menon, Nikhil, Mannering, Fred",A Statistical Assessment of Work-from-home Participation During Different Stages of the COVID-19 Pandemic,101.pdf
"Ton, Danique, Kroesen, Maarten, Chorus, Caspar",Response Latency reveals Participants’ Motivations to Join a Behavioural Change Program,102.pdf
"Ecke, Lisa, Magdolen, Miriam, Jaquart, Sina, Vortisch, Peter",Machine learning-based framework for data reviewing of a national household travel survey,104.pdf
"Boukhellouf, Mathis, Chiabaut, Nicolas, Buisson, Christine",High-occupancy vehicle lanes: modeling the upstream interface capacity,106.pdf
"Yao, Rui, Bekhor, Shlomo",Accounting for driver-passenger matching decisions in a ridesharing simulation platform,107.pdf
"Yao, Rui, Bekhor, Shlomo",Route choice set generation using variational autoencoders,108.pdf
"Ashkrof, Peyman, Homem De Almeida Correia, Gonçalo, Cats, Oded, Van Arem, Bart",Investigating the Relocation Behavior of Ride-sourcing Drivers,109.pdf
"Etzioni, Shelly, Collins, Mor, Ben-Elia, Eran, Shiftan, Yoram",Applying Serious Games in Models of Preferences of Shared Automated Vehicles,110.pdf
"Bresciani Miristice, Lory Michelle, Gentile, Guido, Tiddi, Daniele, Meschini, Lorenzo",Extension of the Hyper Run Assignment Model to real-time passengers forecastingin congested transit networks based on count data,111.pdf
"Shoman, Wasim, Sprei, Frances, Yeh, Sonia",Data needs and challenges for planning electric charging infrastructure for road freight,112.pdf
"Bujak, Michał Piotr, Kucharski, Rafał",Topological properties of ride-pooling shareability graph as a proxy to key performance indicators,113.pdf
"Tozluoğlu, Çağlar, Dhamal, Swapnil, Yeh, Sonia, Sprei, Frances, Liao, Yuan, Marathe, Madhav, Barrett, Christopher, Dubhashi, Devdatt",Heterogeneous Activity Generation for a Synthetic Population: Synthetic Sweden Mobility (SySMo) Model,115.pdf
"Ghasemi, Farnoud, Kucharski, Rafal, Ashkrof, Peyman",Ride Acceptance Behaviour Investigation of Ride-sourcing Drivers Through Agent-based Simulation,117.pdf
"Romero, Carlos, Cats, Oded, Shelat, Sanmay",Estimating a seat choice model for Dutch suburban train users,119.pdf
"Bahamonde-Birke, Francisco J., Frowijn, Luuk, Van Gils, Coco, Helmink, Rutger, Henkus, Sophie, Van Der Hoeven, Sanna, Kolkman, Mathilde, Van Onzen, Tim, Ronteltap, Lisette, Wehl, Dinah E., Ettema, Dick F.",Am I willing to give up my car? An analysis about the willingness of Dutch citizens to adopt MaaS and the triggers affecting their choices.,120.pdf
"Fabre, Léa, Bayart, Caroline, Bonnel, Patrick, Mony, Nicolas",The Potential of Wi-Fi Data to Estimate Bus Passenger Mobility,123.pdf
"Liu, Bing, Ji, Yuxiong, Cats, Oded, Shen, Yu",Evaluation of Cooperation Strategies for Public Transport and Ride-hailing services,124.pdf
"Oliker, Nurit, Carvalho, Margarida",A bi-level optimization model for the EV charging stations location problem using a tripartite graph representation,125.pdf
"Farhani, Mahsa, Chorus, Caspar, Maknoon, Yousef",Assortment Optimization for Boundedly Rational Customers,127.pdf
"Gutjar, Margarita, Kai, Röth, Matthias, Kowald",A stated preferences experiment to analyze bike sharing as an alternative transport mode,128.pdf
"Eliasson, Jonas, Börjesson, Maria",Costs and benefits of parking charges in residential suburbs,129.pdf
"Makridis, Michail, Kouvelas, Anastasios",Introducing the Platoon Fundamental Diagram for Automated Vehicles based on large-scale empirical observations,130.pdf
"Lin, Xiao, Tavasszy, Lorant",Multi-class Dynamic Traffic Assignment based on Link Transmission Model and Mathematical Programming,133.pdf
"Du, Yu, Kouvelas, Anastasios",Max-Pressure Traffic Signal Control for Mixed Traffic Flow based on Capacity Estimation,136.pdf
"Vosough, Shaghayegh, Roncoli, Claudio",Investigating Drivers' Behaviour and Time Sacrifice under Social Routing Advices,138.pdf
"Do, Xuan Canh, Nguyen, Thi Anh Hong, Than, Myo Min, Fujiwara, Akimasa, Chikaraishi, Makoto","Exploring Changes in Public Transport Usage during the COVID-19 Pandemic using Smart Card Data: A Case Study from Hiroshima, Japan",139.pdf
"Moghadas, Seyed Mohamad, Gheibi, Amin, Alahi, Alexandre",STATNet: Spatial-temporal attention in the traffic prediction,140.pdf
"Zhang, Linlin, Van Lierop, Dea, Ettema, Dick",Electric Vehicle Adoption in the Context of Household Fleet Choice: the Case of the Netherlands,142.pdf
"Fielbaum, Andres, Ruiz, Felipe, Boccardo, Giorgio, Rubio, Daniela, Tirachini, Alejandro, Rosales-Salas, Jorge","The job of public transport, ride-hailing and delivery drivers: conditions during the COVID-19 pandemic and implications for a post-pandemic future",145.pdf
"Verstraete, Jeroen, Tampère, Chris M.J.",Algorithms for Non-Separability Problems: The Departure Time Choice,146.pdf
"Fang, Yumeng, Ma, Tai-Yu",Departure-expanded network for electric demand responsive feeder bus coordination with timetabled transit,147.pdf
"Notelaers, Lotte, Tampère, Chris M. J.",Deploying Level 4 Shared Automated Vehicle Services on ODD-compliant Subnetworks: a Multimodal Analysis,148.pdf
"Duncan, Lawrence Christopher, Rasmussen, Thomas Kjær",On the overlap between regional paths in multi-region macroscopic fundamental diagram traffic equilibrium models,149.pdf
"Wei, Guang, Ekström, Joakim, Flötteröd, Gunnar",Implementing partial least squares regression in high dimensional road capacity calibration,150.pdf
"Müller, Sven, Haase, Knut, Reyes Rubiano, Lorena Silvana",Revenue Maximizing Tariff Zone Planning for Public Transport Companies,151.pdf
"Hörl, Sebastian",Exploring accelerated evolutionary parameter search for iterative large-scale transport simulations in a new calibration testbed,152.pdf
"Albano, Giovanni, Mattas, Konstantinos, Dona, Riccardo, He, Yinglong, Ciuffo, Biagio",Investigation of the Relationship between Traffic Hysteresis and String Stability of Vehicle Platoons,153.pdf
"Bahrami, Sina",Bundle Design for Mobility as a Service,154.pdf
"Vieira, Fábio Sartori, Sörensen, Kenneth, Vansteenwegen, Pieter",Optimizing a demand-responsive feeder system for low-demand areas,156.pdf
"Myhrmann, Marcus Skyum, Mabit, Stefan Eriksen",Estimating city wide hourly bicycle flow using a hybrid LSTM MDN,157.pdf
"Ilic, Mario, Sautter, Natalie, Margreiter, Martin, Loder, Allister, Bogenberger, Klaus",Changing Strategic Alignments in European Urban Traffic Control - Requirements for Future Developments,158.pdf
"Sipetas, Charalampos, Roncoli, Claudio","Strategic Integration of Flexible Services of Shared Automated Vehicles with Conventional Fixed Public Transit
Kolkowski, Lukas, Dixit, Malvika, Cats, Oded, Verma, Trivik, Jenelius, ErikMeasuring Activity-Based Social Segregation using Public Transport Smart Card Data",160.pdf
"Zhan, Shen, Cantelmo, Guido, Batista, Sergio F. A., Menéndez, Mónica, Antoniou, Constantinos",Active Learning for transport studies: the case of rare or sparse demand samples,162.pdf
"Vávrová, Lucie, Brůhová Foltýnová, Hana, Vejchodská, Eliška",What factors drive ridesharing for commuting trips the most? Comparison of three different institutions in one city,163.pdf
"Idoudi, Hassan, Ameli, Mostafa, Nguyen-Van-Phu, Cyril, Zargayouna, Mahdi, Rachedi, Abderrezak",Simulation-based Optimization Framework for Stage-based Evacuation Planning,165.pdf
"Fehn, Fabian, Hamm, Lisa Sophie, Engelhardt, Roman, Bogenberger, Klaus",Ride-Parcel-Pooling: Insights to Integrated Passenger and Freight Transportation through a Customer Survey,166.pdf
"Chidambaram, Bhuvanachithra, Scheiner, Joachim",Feeling unpleasant in daily activities – Exploring the effects of travel and non-travel time use in Germany,167.pdf
"Karakitsou, Eleftheria, Fafoutellis, Panagiotis, Vlahogianni, Eleni I.",Efficient Traffic Demand Forecasting Using A Meaningful Representation With Social Multiplex Networks and Community Detection,169.pdf
"Hamm, Lisa S., Bogenberger, Klaus","MobilityCoins – First results on social acceptance, system boundaries and individual budgets in a tradeable credit system in Germany",170.pdf
"Notelaers, Lotte, Tampère, Chris M.J.",Estimating travel demand based on OpenStreetMap in the context of urban digital twins,174.pdf
"Tchervenkov, Christopher, Axhausen, Kay W.",Searching for parking: The case of Zurich,175.pdf
"Trivella, Alessio, Corman, Francesco",An analysis of power peaks in stochastic models of railway traffic,176.pdf
"Stokkink, Patrick, Cenedese, Carlo, Geroliminis, Nikolas, Lygeros, John",Managing Bottleneck Congestion through Incentives on Electric Vehicle Charging and Lane Segmentation,178.pdf
"Lebacque, Jean-Patrick, Ameli, Mostafa, Leclercq, Ludovic",Stochastic departure time user equilibrium with heterogeneous trip profile,180.pdf
"Arman, Mohammad Ali, Tampère, Chris M.J.",Empirical Analysis of Lane Changing Maneuvers in Motorway Weaving Area,183.pdf
"Schimohr, Katja, Doebler, Philipp, Scheiner, Joachim",Spatial modeling of bike-sharing trip data: A methodological comparison,184.pdf
"Syed Ihsan, Sharifah R., Kaparias, Ioannis",Will university students return to campus after COVID-19?,185.pdf
"Danielsson, Anna, Gundlegård, David, Rydergren, Clas",Analysis of Key Route Attributes for Route Choice Model Estimation Based on GPS Data,186.pdf
"Eftekhar, Zahra, Pel, Adam, Van Lint, Hans",Characterizing the Temporal Patterns of Travel Production: A Bird's Eye View of the Urbanization Levels in The Netherlands,187.pdf
"Aktas, Dilay, Sörensen, Kenneth, Vansteenwegen, Pieter",A variable neighbourhood search algorithm for a demand-responsive bus system with capacitated vehicles,188.pdf
"Shakoori, Niloofar, De Nunzio, Giovanni, Leclercq, Ludovic, Sciarretta, Antonio",A MILP Framework to Solve System Optimum with Link MFD Functions,189.pdf
"Malik, Gaurav, Tampère, Chris",Novel metamodel based optimization approach for game theoretical analyses in mobility ecosystem and its demonstration via a case study about toll competition,191.pdf
"Geng, Kexin, Liang, Zhiyuan, Verhoef, Erik T., Wang, Yacan",Managing Congestion and Infection Externalities in a Road and Rail Network: Pricing versus Permits,195.pdf
"Chalkiadakis, Charis, Vlahogianni, Eleni",Investigating the Relationship between Efficiency and Criticality: Some Experimental Findings,196.pdf
"Ingvardson, Jesper, Thorhauge, Mikkel, Nielsen, Otto Anker, Eltved, Morten",Public transport route choice modelling: Identification of bias when using smart card data,197.pdf
"Moliner, Mathilde, Manout, Ouassim, Saunier, Nicolas, Ciari, Francesco",Simulations of different scenarios of the use of autonomous vehicles with a multi-agent model,198.pdf
"Jiao, Yiru, Van Cranenburgh, Sander, Calvert, Simeon C., Van Lint, Hans",Probabilistic representation of driver space and its inference from trajectory data,199.pdf
"Yahyamozdarani, Raheleh, Tampère, Chris M.J.",A macroscopic first-order lane-group-based signalized node model,200.pdf
"Khan, Zaid Saeed, Menendez, Monica",A Combined Bus Splitting And Holding Strategy to Prevent Bus Bunching Using Autonomous Modular Buses,201.pdf
"Van Cranenburgh, Sander",Enriching discrete choice models with computer vision for understanding choice behaviour in the presence of visual stimuli,203.pdf
"Rezvany, Negar, Hillel, Tim, Bierlaire, Michel",Integrated in- and out-of-home scheduling framework: A utility optimization-based approach,205.pdf
"Verhoef, Erik Teodoor, Turpijn, Bas, Verhoef, Maarten Teun",An Empirical Macroscopic Bottleneck Model for the Randstad Area,207.pdf
"Ortmann, Paul, Tampère, Chris",dyntapy: dynamic traffic assignment in python,209.pdf
"Safadi, Yazan, Fu, Rao, Quan, Quan, Haddad, Jack",Macroscopic Fundamental Diagrams for Low-Altitude Air City Transport,211.pdf
"Paulsen, Mads, Lukawska, Miroslawa, Rasmussen, Thomas Kjær, Fosgerau, Mogens",A link-based bicycle perturbed utility route choice model for Copenhagen,212.pdf
"Yatziv, Yotam, Haddad, Jack",Passenger Flow Control at Platforms in Urban Rail Systems,213.pdf
"Paulsen, Mads, Rasmussen, Thomas Kjær, Nielsen, Otto Anker",Impacts of real-time information levels in public transport: A large-scale case study using an adaptive passenger path choice model,214.pdf
"Paulsen, Mads, Rich, Jeppe",Efficient growth strategies for bicycle network expansions,215.pdf
"Jehanfo, Hameed, Hu, Sheng, Kaparias, Ioannis, Preston, John, Zhou, Fujie, Stevens, Alan",Temporary traffic management implications of reconfiguring existing motorways to accommodate dedicated Connected Autonomous Trucks (CAT) lanes - A travel delay perspective,217.pdf
"Espinosa Mireles De Villafranca, Alonso, Roncoli, Claudio",Performance of Synthetic Road Networks with Dedicated Streets for Altruists,218.pdf
"Nong, Yonsorena, Ciari, Francesco, Manout, Ouassim","Environmental performance of carsharing systems: the impacts of vehicle electrification, lifetime turnover and reuse",219.pdf
"Olave Cruz, Isac Antonio, Coulombel, Nicolas, Brousseau, Eric, Côme, Etienne",Parking Regulations to Harmonize Dockless E-scooters: An Empirical Analysis From Paris,220.pdf
"Vogt, Johanna, Kessler, Lisa, Bogenberger, Klaus",On the Level of Traffic Stress for Pedestrians,221.pdf
"Huang, Kang, Liao, Feixiong, Gao, Ziyou",Energy-efficient timetabling for urban rail transit network considering passenger path choice behaviors,222.pdf
"Flötteröd, Gunnar, Sederlin, Michael",Particle-based and stochastic simulation-based traffic assignment,223.pdf
"Karademir, Cigdem, Beirigo, Breno A., Negenborn, Rudy R., Atasoy, Bilge",Two-echelon Multi-trip Vehicle Routing Problem with Satellite Synchronization for An Integrated Water- and Land-based Transportation System,225.pdf
"Valero, Yeltsin, Gioldasis, Christos, Christoforou, Zoi",Generalization of the Social Force Model for Mixed Traffic Contexts including Personal Mobility Devices,226.pdf
"Maricic, Marko, Kucharski, Rafal, Cats, Oded",The effects of pricing and service configurations on a ride-pooling service with pick-up and drop-off points,227.pdf
"Ingvardson, Jesper, Nielsen, Otto Anker, Rich, Jeppe",Public transport trip purpose estimation using automated fare collection data: A comparison of methodological approaches,228.pdf
"Thonnam Thodi, Bilal, Jabari, Saif Eddin",Learning Solutions for LWR-type Traffic Flow Models,229.pdf
"Cirillo, Cinzia, Lin, Shihan, Burra, Lavan Teja, Rathbun, Dennis K",Estimating rebound effect for passenger cars and its effects on US policy regulations,231.pdf
"Haering, Tom, Bongiovanni, Claudia, Bierlaire, Michel",A Benders decomposition for maximum simulated likelihood estimation of advanced discrete choice models,232.pdf
"Gouge, Victoria, Sarri, Paraskevi, Kaparias, Ioannis",The uptake of electrification and its transport and land use impacts; The case of Southampton (UK),233.pdf
"Mylonas, Chrysostomos, Kepaptsoglou, Konstantinos, Mitsakis, Evangelos","The sensitivity of transportation networks criticality to demand variation, level of supply degradation, and network abstraction",234.pdf
"Beojone, Caio Vitor, Geroliminis, Nikolas",An optimized driver repositioning strategy in ridesplitting with earning estimates: a two-layer dynamic model and control,235.pdf
"Saadatnejad, Saeed, Ju, Yi Zhou, Alahi, Alexandre",Pedestrian 3D Bounding Box Prediction,237.pdf
"Drabicki, Arkadiusz, Cats, Oded, Kucharski, Rafał",The More the Merrier? On how many passengers should follow real-time crowding information (RTCI) during bus service disturbances,238.pdf
"De Ruijter, Arjan, Cats, Oded, Van Lint, Hans",Emerging Dynamics in Ridesourcing Platforms,239.pdf
"El Megzari, Idriss, Manout, Ouassim, Ciari, Francesco",Modelling electric vehicles usage in a carsharing fleet using MATSim,243.pdf
"Anagnostopoulos, Georg, Barmpounakis, Emmanouil, Geroliminis, Nikolas",Penalized denoising of vehicle trajectories collected by a swarm of drones,244.pdf
"Safitri, Nur Diana, Chikaraishi, Makoto",Changes in Service Elasticity of Travel Demand during Disaster: A New Indicator of Phase Transition,245.pdf
"Patwary, Ashraf Uz Zaman, Jian, Sisi, Lee, Enoch, Lo, Hong K.",Large-Scale Multimodal Transit Package Optimization: The Case of Hong Kong,246.pdf
"Patwary, Ashraf Uz Zaman, Lo, Hong K., Ciari, Francesco",Efficient Gradient Estimation of Traffic Assignment Models with Iterative Backpropagation,247.pdf
"Guerrero B, Thomas E, Guevara, C. Angelo, Cherchi, Elisabetta, Ortúzar, Juan De Dios",Forecasting with Strategic Transport Models Corrected for Endogeneity,248.pdf
"Binetti, Mario, Colovic, Aleksandra, Prencipe, Luigi Pio, Ottomanelli, Michele",An economic comparison between zero-emission vehicles for urban deliveries from the logistics company perspective,249.pdf
"Badeanlou, Amirhesam, Araldo, Andrea, Diana, Marco",Assessing transportation accessibility equity via open data,250.pdf
