authors,title,pdf_file
Bo Zhou and Ronghui Liu,Rationally Inattentive Route Choice by Link-Based Segments,hEART_2024_paper_0023.pdf
Fred Shone and Tim Hillel,Activity Sequence Modelling with Deep Generative Models,hEART_2024_paper_0145.pdf
"Konstantinos Mattas, Giovanni Albano, Michail Makridis, Sándor Vass, Riccardo Donà and Biagio Ciuffo",Impact of automated driving regulations on traffic flow: The case of Automated Lane-Changing,hEART_2024_paper_0270.pdf
Federico Gallo and Francesco Corman,Modeling and prediction of passenger boardings at transfer nodes of public transport networks,hEART_2024_paper_0429.pdf
"Khatun E Zannat, Kim N Dirks, Judith Y T Wang and David P Watling",Impact of traffic control measures in reducing pollutant dose by shifting from car commuting to walking to school,hEART_2024_paper_0459.pdf
Zhichen Liu and Yafeng Yin,A Unified Framework for End-to-End Learning of User Equilibrium,hEART_2024_paper_0470.pdf
"Lawrence Duncan, Thomas Rasmussen, David Watling and Otto Nielsen",Dynamic multi-region macroscopic fundamental diagram stochastic user equilibrium: model framework and parameter estimation in a real-life large-scale case study,hEART_2024_paper_0574.pdf
"Haruko Nakao, Richard Connors, Tai-Yu Ma and Francesco Viti",Ride-Time Volatility in Demand Responsive Feeder Services with Meeting Points,hEART_2024_paper_0588.pdf
"Ze Zhou, Serio Agriesti, Claudio Roncoli, Lampros Yfantis, Bat-Hen Nahmias-Biran and Jordi Casas",Assessing the operational performance of ridesharing-enabled shared autonomous vehicles fleets,hEART_2024_paper_0695.pdf
"Weijiang Xiong, Robert Fonod and Nikolas Geroliminis",Multi-Source Urban Traffic Prediction using Drone and Loop Detector Data,hEART_2024_paper_0755.pdf
"Simon Weekx, Gil Tal and Lieselot Vanhaverbeke",Revealing hidden patterns in transactional charging data: new insights from public charging stations in Brussels and San Francisco,hEART_2024_paper_0902.pdf
Wataru Nakanishi and Noriko Kaneko,A Fundamental Analysis of the Impact on Traffic Assignment by Toll System of Electric Road System,hEART_2024_paper_0966.pdf
"Janek Laudan, Sabine Banzhaf, Basit Khan and Kai Nagel",Traffic management based on large-scale traffic and high-resolution air pollution simulation,hEART_2024_paper_1059.pdf
"Hao Yin, Elisabetta Cherchi, Mohsen Nazemi, Thomas Zhao and Bilal Farooq",The roles of perceived personal safety and perceived vehicle safety in the choice of fully automated taxis: trust as a mediator,hEART_2024_paper_1101.pdf
"Nico Kuehnel, Felix Zwick and Tom-Erik Kuhlen",People with disabilities in on-demand ridepooling: revealed demand patterns of wheelchair users and severely disabled passengers of MOIA in Hamburg,hEART_2024_paper_1149.pdf
"Georgios Kapousizis, Baran Ulak, Karst Geurs and Paul Havinga",A latent class approach to investigate user preferences and willingness to pay for Smart Technologies. Evidence from five European countries,hEART_2024_paper_1248.pdf
"Mogens Fosgerau, Nikolaj Nielsen, Rui Yao, Mads Paulsen and Thomas Kjær Rasmussen",Estimating the perturbed utility route choice model with individual-level data,hEART_2024_paper_1284.pdf
"Ramin Niroumand, Shaghayegh Vosough, Marco Rinaldi, Richard Connors and Claudio Roncoli",Beyond links: The power of path incentives in alleviating congestion and emissions in urban networks,hEART_2024_paper_1587.pdf
Fabian Drews and Christine Ahrend,"Experiences in the development and implementation of transport policy push  measures at municipal, state and federal level: An empirical study from Germany.",hEART_2024_paper_1621.pdf
"Thomas E Guerrero B, Nicolò Avogadro and Raul Ramos",Control Function Approach for Addressing Endogeneity on the London-Amsterdam Bimodal Corridor,hEART_2024_paper_1860.pdf
"Yimeng Zhang, Oded Cats and Shadi Sharif Azadeh",Preference-based Optimization for Multimodal Trip Planning with Public Transport and Shared Mobility,hEART_2024_paper_1986.pdf
"Neba C Tony, Taku Fujiyama, Geetam Tiwari, M Manoj and Niladri Chatterjee",Unveiling Pedestrian Safety Perceptions using Rasch Analysis,hEART_2024_paper_1988.pdf
Joschka Bischoff and Annette Knupp,Beyond Tracks: Modeling Intermodal Travel Behavior at Swiss Train Stations,hEART_2024_paper_2000.pdf
Nicolas Schoenn-Anchling and Silvia Varotto,Which factors influence mode choice with bike and e-scooter sharing systems?,hEART_2024_paper_2173.pdf
"Selin Ataç, Nikola Obrenović and Michel Bierlaire",Bike Sharing Systems: The Impact of Precise Trip Demand Forecasting on Operational Efficiency in Different City Structures,hEART_2024_paper_2317.pdf
"Patrick Stokkink, Zhenyu Yang and Nikolas Geroliminis",Modelling and optimization of flexible users in large-scale ridesharing systems,hEART_2024_paper_2367.pdf
