authors,title,pdf_file
Keiichiro Hayakawa; Eiji Hato,Auction-Based Implementation Of Traffic Services To Maximize Activity-Based Social Welfare,5233.pdf
Jonas Eliasson; Christian Savemark; Joel Franklin,The impact of land use effects in infrastructure CBA – a simulation study,5234.pdf
Anupriya Anupriya; Daniel J. Graham; Richard Anderson,Cost Function for urban rail tranport systems,5246.pdf
Xiaofeng Pan; Soora Rasouli; Harry Timmermans,Separating Effects of Social Influence and Choice Consistency in Sequential Stated Adaptation Experiments,5250.pdf
Jose Manuel Carbo; Daniel J. Graham; Anupriya Anupriya; Daniel Casas,Quantifying the causal effects of high speed rail: Evidence from the Madrid-Barcelona Corridor,5254.pdf
Marco Rinaldi; Francesco Viti,Controllability of transportation networks,5255.pdf
C. Angelo Guevara,Testing the Exogeneity of Instrumental Variables in Discrete Choice Models,5256.pdf
Xin Qi; Jin Zhou; Hai Jiang,Joint Estimation of Signal Timings for all Directions of an Intersection Using Low-Frequency GPS Data,5260.pdf
Yuki Oyama; Riccardo Scarinci; Michel Bierlaire,Optimal capacity location problem of parking and accelerated moving walkways to design a car-free city center,5262.pdf
Martin Gregurić; Sadko Mandžuka; Edouard Ivanjko,Knowledge Integration by Using Adaptive Neural-fuzzy Networks for Ramp Metering,5263.pdf
Joachim Scheiner; Oliver Huber,Children's independent travel to primary school – findings from a medium-sized suburban town in Germany,5264.pdf
Dmitry Pavlyuk,Spatiotemporal structure of urban traffic flows: from road network to data-driven feature selection,5266.pdf
Sonja Haustein; Maarten Kroesen; Ismir Mulalic,Modelling the effect of foreign origin on mode choice in two different cycling cultures,5267.pdf
Danique Ton; Dorine Duives; Oded Cats; Sascha Hoogendoorn-Lanser; Serge Paul Hoogendoorn,Determinants of the consideration mode choice set,5268.pdf
Konstantinos Gkiotsalitis; Oded Cats,Network-wide synchronized scheduling of public transport services,5270.pdf
Ioannis Tsouros; Amalia Polydoropoulou,An interactive tool for assessing green transport policy,5271.pdf
Bara Karlinova; Ondrej Krcal; Stefanie Peer; Rostislav Stanek,Hypothetical biases in the value of waiting time,5272.pdf
Florian Schneider; Winnie Daamen; Sascha Hoogendoorn-Lanser; Serge Paul Hoogendoorn,How far do people walk and cycle for different activities? Evidence from the Netherlands,5274.pdf
Nikola Obrenovic; Virginie Lurkin; Stefano Bortolomiol; Michel Bierlaire; Vincent Joel Baeriswyl; Jasmin Bigdon,Model of the Swiss Freight Railway Network Design Problem,5275.pdf
Aviv Steren; Stav Rosenzweig; Ofir Rubin,Energy efficiency and road safety: The effect of cars' size on risky driving behavior,5277.pdf
Devi Brands; Jasper Knockaert; Paul Koster; Erik Verhoef,To trade or not to trade? Tradable parking permits and rationality: evidence from an experiment.,5280.pdf
Tianli Tang; Ronghui Liu; Charisma Choudhury,Investigating the effect of weather on bus origin-destination patterns: A case study from Changsha China,5281.pdf
Menno Yap; Oded Cats; Niels van Oort; Serge Paul Hoogendoorn,Controlling the propagation of passenger disruption impacts in multi-level public transport networks,5285.pdf
Jia Guo; Tao Feng; Harry Timmermans,Analysis Of Temporal Dependencies In The Occurrence Of Life Events Using Dynamic Bayesian Networks,5290.pdf
Georgios Grigoropoulos; Andreas Keler; Jakob Kaths; Heather Twaddle; Matthias Spangler; Silja Hoffmann; Fritz Busch,Evaluation of the Traffic Efficiency of Bicycle Highways: A Microscopic Traffic Simulation Study,5294.pdf
Ioannis Baraklianos; Louafi Bouzouina; Ouassim Manout; Patrick Bonnel,To what extent location choices of new and relocating economic establishments differ in terms of preference for accessibility?,5296.pdf
Athanasios Theofilatos; Dimitrios Tselentis; George Yannis; Quan Yuan,Exploring Weather Effects on Powered-Two-Wheeler Safety on Urban Arterials in Athens,5298.pdf
Alonso Espinosa Mireles de Villafranca; Wisinee Wisetjindawat; Eddie Wilson,Robustness of Synthetic Traffic Networks Under Random Link Disruption,5300.pdf
Semin Kwak; Nikolas Geroliminis,Data-driven prediction of experienced travel times for freeways,5301.pdf
Nan Zhang; Daniel J. Graham; Jose Manuel Carbo,Using smart card data to analyse the disruption impacts on urban metro systems,5303.pdf
Taha Ghasempour; Benjamin Heydecker; Taku Fujiyama,Objective Functions for Adaptive Railway Traffic Management by Approximate Dynamic Programming,5304.pdf
Daniel Hörcher; Daniel J. Graham,The Gini index of demand imbalances in public transport networks,5305.pdf
Nurit Oliker; Shlomo Bekhor,Accounting for capacity constraints and online information in a frequency based transit assignment model,5308.pdf
Rafał Kucharski; Justyna Mielczarek; Arkadiusz Drabick; Andrzej Szarata,Updating high-res demand model with low-res GSM OD matrices,5309.pdf
Virginie Lurkin; Anna Fernández Antolín; Michel Bierlaire,A MILP formulation for the maximum likelihood estimation of continuous and discrete parameters in choice models,5313.pdf
Tao Liu; Avishai Ceder; Andreas Rau,Scheduled Platoons of Public Transport Autonomous Modular Vehicles,5316.pdf
Sergio Jara-Diaz; Andres Fielbaum; Antonio Gschwender,Public transport design scale economies and optimal pricing: the role of space,5318.pdf
Eric Pestel,Quality assessment of distributions in transport modelling,5319.pdf
Mizuki Ueda; Eiji Hato,Dynamic Discrete-Continuous Model Incorporating Heterogeneity of Time Constraint for Analysis of Evacuation Networks under Disaster,5322.pdf
Roberto Abenoza; Oded Cats; Yusak Susilo,What is the role of weather built-environment and accessibility geographical characteristics in influencing travelers’ experience?,5327.pdf
Sander Van Cranenburgh; Marco Kouwenhoven,An artificial neural network based approach to uncover Value-of-Time distributions,5328.pdf
Jens Kandt; Alistair Leak,Inclusive mobility in the West Midlands Understanding declining bus patronage by senior residents from smart card data,5330.pdf
Guido Cantelmo; Francesco Viti; Constantinos Antoniou; Arun Akkinepally; Moeid Qurashi,Utility-Based Kalman Filtering For Real-Time Estimation Of Daily Demand Flows,5331.pdf
Juan Lorenzo; Maria Börjesson; Andrew Daly,Estimating Values of Time on National Travel Survey data.,5332.pdf
Mostafa Ameli; Jean-Patrick Lebacque; Ludovic Leclercq,Impacts of the network design history on day-to-day multimodal dynamic traffic assignment,5336.pdf
Alessandro Bombelli; Lars Meijs; Bruno Santos; Lorant. A. Tavasszy; Daniel Miranda,Global air cargo model for trade flow analysis and strategic decision-making support,5338.pdf
Georgios Laskaris; Oded Cats; Erik Jenelius; Marco Rinaldi; Francesco Viti,Real time multiline holding control for networks with shared transit corridor,5339.pdf
Biagio Ciuffo; Maria Alonso Raposo; Aleksandr Belov; Michail Makridis; Konstantinos Mattas,Envisioning the futures of mobility and the emergence of a Connected Coordinated and Automated Road Transport,5340.pdf
Vasileia Papathanasopoulou; Constantinos Antoniou,Towards data-driven microscopic traffic simulation models,5341.pdf
María Jesús Alonso González; Anne Durand; Lucas Harms; Niels Van Oort; Oded Cats; Sascha Hoogendoorn-Lanser; Serge Paul Hoogendoorn,Will Car Users Change Their Mobility Patterns With Mobility As A Service (Maas) And Microtransit? – A Latent Class Cluster Analysis,5342.pdf
Simon Cohen; Zoi Christoforou; Régine Seidowsky,Variable speed limit and ramp metering assessment using FCD,5344.pdf
Flurin Hänseler; Serge Paul Hoogendoorn,Optimal crowd management for congested metro stations,5349.pdf
Nicholas Caros; Joseph Chow,Two-Sided Market Evaluation of Last-Mile Transit Operations with En-Route Transfers,5353.pdf
Chenyang Wu; Scott Le Vine; John W. Polak,User Response to the Dynamic Pricing of Carsharing Services: A Stated-Choice Approach,5356.pdf
Mahendra Paipuri; Ludovic Leclercq; Jean Krug,Comparison of MFD-based approaches with microscopic simulation data for real networks: Production hysteresis and trip lengths,5359.pdf
Pedro Mercader; Jack Haddad,Automatic Incident Detection in Freeways by using Bluetooth Based Tracking,5360.pdf
Domokos Esztergár-Kiss; Imad Sabbani; Zoltán Rózsa; Tamás Tettamanti,Performance evaluation of heuristic algorithms for the activity chain optimization problem,5361.pdf
