authors,title,pdf_file
"Patrick Gendre, Gabriel Plassat, Fouad Khodja and Shankari Kalyanaraman","e-mission, how to make a common for researchers and practitionner from an open source human mobility tracker software?",HEART_2020_paper_5.pdf
"Frédéric Salladarre, Rémy Le Boennec and Marlene Bel",Robotaxis or autonomous shuttles? The role of urban representations and mobility habits in tomorrow's mode choice in France,HEART_2020_paper_6.pdf
Sergio Jara-Diaz and Esteban Muñoz-Paulsen,Strategic design of a bimodal public transport network: an explanatory analysis,HEART_2020_paper_7.pdf
"Konstantin Krauss, Axel Burger, Uta Burghard and Aline Scherrer",(Non-) Traffic Related Factors Influencing the Acceptance of Shared Transport Services,HEART_2020_paper_8.pdf
Szabolcs Duleba,A new passenger survey methodology: a model of Parsimonious AHP,HEART_2020_paper_10.pdf
"Karina Hermawan, Ravi Seshadri, Takanori Sakai, P. Christopher Zegras and Moshe Ben-Akiva",Autonomous Mobility On-Demand (AMoD) Systems and their Potential Impacts on Mode Choice and Weekly Activity Patterns: A Case Study in Singapore,HEART_2020_paper_11.pdf
Oscar Egu and Patrick Bonnel,"Medium-term public transit route ridership forecasting: what, how and why ? A case study in Lyon",HEART_2020_paper_12.pdf
Ioannis Kaparias and Peiheng Li,A study on Powered Two-Wheeler user perceptions towards street designs with elements of shared space,HEART_2020_paper_14.pdf
"Han Zhou, Jan-Pieter Dorsman, Maaike Snelder, Michel Mandjes and Erik de Romph",Effective determination of MaaS trip modes in activity-based demand modelling,HEART_2020_paper_15.pdf
"Wasim Shoman, Sten Karlsson and Sonia Yeh",Benefits of Electric Road System with charging from below technology to battery electric vehicles,HEART_2020_paper_17.pdf
Mirco Tonin and Stefano Castriota,Stay or Flee? Probability versus Severity of Punishment in Hit-and-run Accidents,HEART_2020_paper_18.pdf
"Prawira F. Belgiawan, Tri Basuki Joewono and Muhammad Zudhy Irawan",Factors influencing ride-sourcing usage: An ordered hybrid choice model,HEART_2020_paper_19.pdf
Marcus Skyum Myhrmann and Stefan Eriksen Mabit,Applying the Palm distribution for bicycle crash risk assessment and informed policy making,HEART_2020_paper_20.pdf
Aurélien Bigo,"The mean passenger transport speeds across time in France, its determinants, and the interaction with transport demand",HEART_2020_paper_21.pdf
"Ali Najmi, Taha Hossein Rashidi and Wei Liu",A Rideshare-oriented Mobility as a Service (MaaS): An Activity-based Approach,HEART_2020_paper_23.pdf
"Roel Faber, Olaf Jonkeren, Mathijs de Haas, Eric Molin and Maarten Kroesen",Exploring a potential downside of multi-modality by estimating the effect of the weather on travellers with different modality styles,HEART_2020_paper_24.pdf
"Ajsuna Ragipi Rushid, Maria Börjesson and Chengxi Liu",The effects of increased rail access charges on intercity rail price and supply,HEART_2020_paper_25.pdf
Maarten Kroesen,Can municipalities positively influence health via active travel? Results from a path model,HEART_2020_paper_26.pdf
"Anne Durand, Toon Zijlstra, Niels van Oort, Sascha Hoogendoorn-Lanser and Serge Hoogendoorn",Access denied: Digital inequality in transport services,HEART_2020_paper_27.pdf
"Jingjun Li, Evy Rombaut, Koen Mommens, Cathy Macharis and Lieselot Vanhaverbeke",Towards an Integrated Mobility and Logistics Network for Autonomous Vehicles: Review and Opportunities of the Agent-based Approach,HEART_2020_paper_30.pdf
Emanuel Broman and Jonas Eliasson,Dynamic pricing of track capacity in the short-term allocation process,HEART_2020_paper_31.pdf
Jeroen Verstraete and Chris Tampere,Recursive Logit Route Choice Modelling for Traffic Assignment,HEART_2020_paper_33.pdf
"Aditya Tafta Nugraha, Ben Waterson, Simon Blainey and Frederick Nash",Measuring urban dynamics in port-cities using an agent-based cellular automata land-use and transport interaction model,HEART_2020_paper_34.pdf
"Marisol Castro, C. Angelo Guevara and Angel Jimenez-Molina",A methodological framework to incorporate psychophysiological indicators into transportation modeling,HEART_2020_paper_36.pdf
"Romain Crastes Dit Sourd, Stephane Hess, Maria Borejesson and David Hensher",Preference instability in stated choice surveys: more evidence,HEART_2020_paper_37.pdf
"Ramandeep Singh, Daniel J. Graham and Richard J. Anderson",Recovering platform wait time patterns from revealed preference data for urban rail transit systems,HEART_2020_paper_39.pdf
"Taylor Mordan, Antoine Saporta, Alexandre Alahi, Matthieu Cord and Patrick Pérez",Bilinear Multimodal Discriminator for Adversarial Domain Adaptation with Privileged Information,HEART_2020_paper_40.pdf
"Smail Ait Bouhsain, Saeed Saadatnejad and Alexandre Alahi",Pedestrian Intention Prediction: A Multi-task Perspective,HEART_2020_paper_41.pdf
"Nurit Oliker, Miguel F. Anjos, Margarida Carvalho, Emma Frejinger and Bernard Gendron",Electric Vehicles Equilibrium Model that Considers Queue Delay and Mixed Traffic,HEART_2020_paper_42.pdf
Kotaro Yamada and Will Recker,A Framework for Evaluating the Validity of Autonomous Vehicles in Multimodal Transportation Systems,HEART_2020_paper_43.pdf
